data,v_vento,t_med
2015-08-19,1.84,30.61
2015-08-20,1.62,25.81
2015-08-21,1.56,26.55
2015-08-22,1.43,27.40
2015-08-23,1.32,28.98
2015-08-24,1.52,28.32
2015-08-25,2.33,28.64
2015-08-26,2.31,28.65
2015-08-27,1.52,27.70
2015-08-28,2.78,28.78
2015-08-29,2.39,27.55
2015-08-30,2.21,28.66
2015-08-31,1.97,28.29
2015-09-01,1.98,27.84
2015-09-02,1.45,26.79
2015-09-03,1.93,27.02
2015-09-04,1.57,26.87
2015-09-05,1.38,28.20
2015-09-06,1.90,28.16
2015-09-07,2.50,29.12
2015-09-08,2.28,28.51
2015-09-09,1.47,29.07
2015-09-10,2.07,28.55
2015-09-11,1.61,29.22
2015-09-12,1.38,29.25
2015-09-13,2.50,30.44
2015-09-14,1.95,29.19
2015-09-15,1.75,28.39
2015-09-16,2.49,29.00
2015-09-17,2.17,27.41
2015-09-18,2.01,28.27
2015-09-19,2.28,28.40
2015-09-20,1.96,28.50
2015-09-21,1.48,29.16
2015-09-22,2.17,29.33
2015-09-23,1.49,30.30
2015-09-24,1.81,30.31
2015-09-25,2.00,29.44
2015-09-26,1.65,29.27
2015-09-27,1.71,30.29
2015-09-28,1.89,30.79
2015-09-29,1.92,24.87
2015-09-30,1.42,28.10
2015-10-01,2.30,29.62
2015-10-02,2.21,29.12
2015-10-03,1.31,29.50
2015-10-04,1.36,30.33
2015-10-05,1.35,31.45
2015-10-06,3.54,26.60
2015-10-07,1.76,27.42
2015-10-08,2.29,30.45
2015-10-09,2.07,29.93
2015-10-10,1.72,29.66
2015-10-11,1.59,29.64
2015-10-12,1.78,29.55
2015-10-13,2.52,29.98
2015-10-14,1.78,28.87
2015-10-15,2.06,29.55
2015-10-16,2.15,31.52
2015-10-17,1.95,30.62
2015-10-18,2.00,30.67
2015-10-19,1.68,30.43
2015-10-20,1.47,30.45
2015-10-21,1.60,31.23
2015-10-22,1.89,31.01
2015-10-23,2.76,26.05
2015-10-24,2.04,27.31
2015-10-25,2.06,26.34
2015-10-26,1.88,28.90
2015-10-27,1.77,28.35
2015-10-28,2.87,27.58
2015-10-29,1.77,27.40
2015-10-30,1.84,27.57
2015-10-31,1.71,27.55
2015-11-01,2.03,24.69
2015-11-02,1.83,26.95
2015-11-03,1.63,26.63
2015-11-04,1.58,28.05
2015-11-05,2.47,26.62
2015-11-06,1.79,28.22
2015-11-07,1.75,29.66
2015-11-08,1.49,27.09
2015-11-09,2.26,27.25
2015-11-10,1.44,28.39
2015-11-11,1.88,29.22
2015-11-12,1.27,29.14
2015-11-13,1.88,29.77
2015-11-14,1.95,27.67
2015-11-15,2.86,27.67
2015-11-16,1.65,25.95
2015-11-17,1.77,26.73
2015-11-18,1.26,27.29
2015-11-19,1.58,26.87
2015-11-20,1.99,27.86
2015-11-21,1.46,29.11
2015-11-22,1.76,28.08
2015-11-23,1.79,27.77
2015-11-24,2.05,27.22
2015-11-25,2.55,25.98
2015-11-26,1.10,28.75
2015-11-27,2.15,28.47
2015-11-28,1.47,25.44
2015-11-29,1.71,28.15
2015-11-30,1.78,28.86
2015-12-01,1.55,30.02
2015-12-02,1.37,30.45
2015-12-03,2.42,29.78
2015-12-04,2.65,29.69
2015-12-05,2.20,26.86
2015-12-06,1.65,27.15
2015-12-07,1.07,28.92
2015-12-08,2.03,26.76
2015-12-09,1.31,28.33
2015-12-10,1.54,29.96
2015-12-11,1.95,29.75
2015-12-12,1.89,28.98
2015-12-13,2.08,26.75
2015-12-14,1.17,27.08
2015-12-15,1.99,27.40
2015-12-16,2.09,27.44
2015-12-17,1.47,27.63
2015-12-18,1.72,27.61
2015-12-19,1.79,29.09
2015-12-20,1.66,28.73
2015-12-21,1.94,26.49
2015-12-22,1.51,28.37
2015-12-23,1.92,28.58
2015-12-24,1.60,28.94
2015-12-25,1.94,28.65
2015-12-26,2.30,26.73
2015-12-27,1.26,27.86
2015-12-28,2.61,28.48
2015-12-29,2.04,26.77
2015-12-30,2.56,26.85
2015-12-31,1.56,29.10
2016-01-01,2.37,27.42
2016-01-02,1.56,27.08
2016-01-03,1.81,27.09
2016-01-04,1.70,27.98
2016-01-05,2.35,26.80
2016-01-06,1.86,25.25
2016-01-07,-413.70,24.80
2016-01-08,2.75,24.50
2016-01-09,2.12,24.45
2016-01-10,1.55,25.33
2016-01-11,1.79,26.42
2016-01-12,1.65,26.75
2016-01-13,-414.74,26.07
2016-01-14,2.29,24.03
2016-01-15,1.40,26.29
2016-01-16,2.13,24.35
2016-01-17,1.56,26.62
2016-01-18,1.98,25.32
2016-01-19,2.17,25.72
2016-01-20,1.96,25.05
2016-01-21,3.38,24.69
2016-01-22,3.34,25.84
2016-01-23,3.13,25.37
2016-01-24,2.08,25.00
2016-01-25,2.09,27.13
2016-01-26,2.53,26.60
2016-01-27,2.76,24.57
2016-01-28,1.82,24.67
2016-01-29,3.20,24.34
2016-01-30,1.36,26.85
2016-01-31,2.04,27.76
2016-02-01,1.78,27.44
2016-02-02,1.65,27.20
2016-02-03,1.75,27.12
2016-02-04,1.67,26.51
2016-02-05,1.33,25.94
2016-02-06,1.61,27.94
2016-02-07,1.72,27.43
2016-02-08,1.99,28.90
2016-02-09,1.49,28.48
2016-02-10,1.73,28.80
2016-02-11,1.47,29.17
2016-02-12,1.73,29.21
2016-02-13,1.88,28.04
2016-02-14,2.12,26.20
2016-02-15,1.96,26.42
2016-02-16,1.65,27.93
2016-02-17,1.68,28.91
2016-02-18,1.62,29.02
2016-02-19,1.55,29.00
2016-02-20,1.79,28.04
2016-02-21,2.01,26.63
2016-02-22,2.15,27.55
2016-02-23,1.87,28.89
2016-02-24,1.88,28.81
2016-02-25,1.86,28.50
2016-02-26,1.22,25.59
2016-02-27,1.20,27.62
