data,v_vento,t_med
2010-04-27,1.09,16.48
2010-04-28,2.05,14.05
2010-04-29,1.66,14.48
2010-04-30,1.44,14.83
2010-05-01,2.20,16.06
2010-05-02,2.11,17.36
2010-05-03,1.80,16.84
2010-05-04,2.60,17.09
2010-05-05,1.43,14.36
2010-05-06,2.85,17.02
2010-05-07,5.06,13.43
2010-05-08,4.16,11.49
2010-05-09,3.65,11.54
2010-05-10,3.19,11.87
2010-05-11,4.12,13.09
2010-05-12,4.06,14.65
2010-05-13,1.77,14.20
2010-05-14,3.01,15.96
2010-05-15,2.99,18.88
2010-05-16,5.55,13.72
2010-05-17,3.86,12.81
2010-05-18,4.27,15.37
2010-05-19,3.47,13.79
2010-05-20,2.67,17.85
2010-05-21,2.39,18.85
2010-05-22,3.14,19.01
2010-05-23,3.63,19.41
2010-05-24,4.02,18.15
2010-05-25,3.50,14.89
2010-05-26,1.65,13.12
2010-05-27,3.46,15.82
2010-05-28,3.56,17.27
2010-05-29,2.08,16.23
2010-05-30,6.28,15.45
2010-05-31,4.35,10.55
2010-06-01,2.45,11.13
2010-06-02,2.60,13.25
2010-06-03,2.72,14.54
2010-06-04,2.16,15.62
2010-06-05,3.84,12.66
2010-06-06,3.03,12.19
2010-06-07,1.35,12.36
2010-06-08,3.65,10.85
2010-06-09,4.29,7.86
2010-06-10,3.92,8.05
2010-06-11,3.68,12.52
2010-06-12,4.67,14.39
2010-06-13,4.52,15.13
2010-06-14,5.39,16.41
2010-06-15,2.44,17.65
2010-06-16,4.21,15.63
2010-06-17,4.23,14.75
2010-06-18,2.60,15.84
2010-06-19,3.44,16.09
2010-06-20,2.28,10.20
2010-06-21,2.94,8.10
2010-06-22,1.51,7.83
2010-06-23,4.68,13.10
2010-06-24,5.10,17.55
2010-06-25,4.71,12.23
2010-06-26,3.38,13.17
2010-06-27,4.62,15.93
2010-06-28,3.44,11.69
2010-06-29,2.18,10.30
2010-06-30,1.71,14.72
2010-07-01,3.38,17.23
2010-07-02,3.25,19.46
2010-07-03,3.14,19.34
2010-07-04,2.97,19.02
2010-07-05,5.53,19.77
2010-07-06,5.14,20.40
2010-07-07,5.22,18.86
2010-07-08,2.18,10.68
2010-07-09,2.01,11.40
2010-07-10,2.10,10.47
2010-07-11,3.69,13.72
2010-07-12,6.18,10.83
2010-07-13,3.92,5.45
2010-07-14,3.01,5.81
2010-07-15,2.76,5.30
2010-07-16,3.95,4.35
2010-07-17,5.40,5.93
2010-07-18,2.69,12.72
2010-07-19,6.34,8.52
2010-07-20,5.21,8.94
2010-07-21,3.47,9.09
2010-07-22,2.99,6.11
2010-07-23,2.03,6.28
2010-07-24,3.02,9.15
2010-07-25,4.00,12.23
2010-07-26,3.76,9.12
2010-07-27,2.41,9.92
2010-07-28,2.96,13.50
2010-07-29,1.86,13.00
2010-07-30,4.44,17.10
2010-07-31,5.46,14.17
2010-08-01,2.91,7.22
2010-08-02,3.63,5.17
2010-08-03,3.32,3.88
2010-08-04,4.11,4.91
2010-08-05,3.34,8.05
2010-08-06,2.57,9.04
2010-08-07,2.67,9.12
2010-08-08,3.63,8.61
2010-08-09,2.64,8.36
2010-08-10,3.09,9.43
2010-08-11,3.03,11.72
2010-08-12,4.53,16.71
2010-08-13,7.20,10.08
2010-08-14,3.83,6.61
2010-08-15,3.58,7.68
2010-08-16,3.91,11.91
2010-08-17,3.72,14.59
2010-08-18,4.88,16.55
2010-08-19,1.77,14.06
2010-08-20,2.37,13.47
2010-08-21,1.76,14.67
2010-08-22,4.45,19.85
2010-08-23,5.82,22.00
2010-08-24,4.88,16.49
2010-08-25,4.54,12.57
2010-08-26,3.72,15.45
2010-08-27,2.47,16.75
2010-08-28,2.88,17.63
2010-08-29,5.61,18.47
2010-08-30,5.28,12.55
2010-08-31,3.80,18.54
2010-09-01,3.17,17.98
2010-09-02,3.41,17.27
2010-09-03,4.02,16.05
2010-09-04,7.10,9.92
2010-09-05,2.29,13.07
2010-09-06,2.19,14.76
2010-09-07,2.99,13.95
2010-09-08,2.54,15.45
2010-09-09,3.16,17.46
2010-09-10,3.87,18.76
2010-09-11,2.85,17.10
