data,v_vento,t_med,v_rajada,t_max,t_min
2001-01-18,2.47,21.67,4.80,22.60,20.30
2001-01-19,2.95,21.80,12.30,29.30,17.00
2001-01-20,2.33,20.30,6.40,27.10,15.90
2001-01-21,3.96,19.85,9.90,27.70,16.40
2001-01-22,3.80,19.99,9.00,25.10,16.00
2001-01-23,2.88,20.10,8.50,25.10,16.20
2001-01-24,2.94,20.60,7.30,27.00,16.80
2001-01-25,2.61,21.65,7.50,27.80,16.90
2001-01-26,2.73,22.16,7.90,28.30,17.50
2001-01-27,2.36,22.29,10.70,28.30,18.40
2001-01-28,3.69,21.84,9.00,27.40,17.70
2001-01-29,3.25,20.79,10.90,25.80,18.00
2001-01-30,2.89,19.53,9.10,26.20,16.00
2001-01-31,2.35,19.19,7.60,23.20,17.80
2001-02-01,2.29,20.23,7.40,25.40,16.60
2001-02-02,3.23,21.11,11.20,25.90,17.50
2001-02-03,2.19,19.82,9.40,25.10,17.70
2001-02-04,3.05,20.77,8.00,25.90,17.70
2001-02-05,3.10,20.56,11.20,26.20,18.00
2001-02-06,2.83,20.34,8.40,25.90,17.80
2001-02-07,2.01,21.28,6.60,27.60,16.80
2001-02-08,2.92,22.44,7.40,28.40,18.30
2001-02-09,2.88,21.27,8.20,27.80,17.10
2001-02-10,2.62,21.50,6.70,28.20,16.50
2001-02-11,2.76,20.88,8.80,27.90,16.20
2001-02-12,2.10,20.61,12.30,26.30,17.90
2001-02-13,2.41,20.31,6.30,26.30,17.50
2001-02-14,2.01,19.33,7.30,23.40,17.90
2001-02-15,2.47,19.82,7.50,25.10,17.00
2001-02-16,1.77,20.36,5.10,28.30,14.10
2001-02-17,4.43,20.19,9.40,26.30,17.30
2001-02-18,3.85,19.68,9.60,24.00,18.00
2001-02-19,1.81,18.93,8.80,23.80,17.10
2001-02-20,2.50,18.60,7.20,21.10,17.10
2001-02-21,3.40,20.52,8.00,27.60,15.90
2001-02-22,2.42,20.38,6.90,26.40,17.90
2001-02-23,2.83,18.95,10.00,25.50,16.30
2001-02-24,2.03,20.10,6.00,27.70,15.60
2001-02-25,1.70,21.13,6.10,26.90,17.60
2001-02-26,2.45,20.88,8.60,28.00,17.40
2001-02-27,4.51,20.62,10.90,26.70,16.90
2001-02-28,4.34,20.38,11.30,27.10,15.50
2001-03-01,4.35,20.65,11.70,27.40,16.00
2001-03-02,3.23,21.01,8.30,27.80,16.40
2001-03-03,2.98,20.00,7.60,27.40,16.20
2001-03-04,2.08,20.77,6.70,27.10,15.40
2001-03-05,2.50,19.93,9.10,26.50,16.30
2001-03-06,2.55,20.09,8.30,26.50,17.50
2001-03-07,2.12,19.64,9.60,26.10,16.70
2001-03-08,2.24,19.42,5.40,24.10,17.10
2001-03-09,1.93,19.96,7.20,26.30,15.90
2001-03-10,2.72,20.19,6.80,27.10,16.00
2001-03-11,2.45,20.83,6.90,28.20,15.80
2001-03-12,3.40,19.98,9.60,25.90,14.70
2001-03-13,4.08,20.78,8.80,27.30,17.20
2001-03-14,3.81,22.29,9.10,28.80,18.30
2001-03-15,2.87,22.49,7.90,29.70,17.70
2001-03-16,2.48,22.09,8.80,28.40,17.20
2001-03-17,3.25,20.31,14.50,27.80,16.50
2001-03-18,3.28,18.26,11.20,24.30,16.20
2001-03-19,1.62,19.52,6.80,26.40,15.70
2001-03-20,2.66,19.97,9.50,27.80,15.40
2001-03-21,3.82,20.83,14.70,27.40,17.50
2001-03-22,2.79,19.88,12.40,27.40,16.80
2001-03-23,2.93,20.76,10.10,27.30,16.20
