datahora,vel_vento,dir_vento
2016-10-27 00:00:00+00:00,1.20,261.00
2016-10-27 01:00:00+00:00,1.00,16.00
2016-10-27 02:00:00+00:00,1.80,350.00
2016-10-27 03:00:00+00:00,3.00,355.00
2016-10-27 04:00:00+00:00,3.30,353.00
2016-10-27 05:00:00+00:00,3.90,319.00
2016-10-27 06:00:00+00:00,2.60,290.00
2016-10-27 07:00:00+00:00,2.90,271.00
2016-10-27 08:00:00+00:00,3.60,293.00
2016-10-27 09:00:00+00:00,4.00,288.00
2016-10-27 10:00:00+00:00,3.20,268.00
2016-10-27 11:00:00+00:00,4.30,235.00
2016-10-27 12:00:00+00:00,3.30,224.00
2016-10-27 13:00:00+00:00,3.10,230.00
2016-10-27 14:00:00+00:00,2.40,259.00
2016-10-27 15:00:00+00:00,3.40,257.00
2016-10-27 16:00:00+00:00,4.60,262.00
2016-10-27 17:00:00+00:00,4.10,239.00
2016-10-27 18:00:00+00:00,4.80,281.00
2016-10-27 19:00:00+00:00,3.80,268.00
2016-10-27 20:00:00+00:00,4.30,252.00
2016-10-27 21:00:00+00:00,4.10,266.00
2016-10-27 22:00:00+00:00,3.10,265.00
2016-10-27 23:00:00+00:00,2.00,269.00
2016-10-28 00:00:00+00:00,2.30,240.00
2016-10-28 01:00:00+00:00,2.10,244.00
2016-10-28 02:00:00+00:00,3.20,230.00
2016-10-28 03:00:00+00:00,3.00,224.00
2016-10-28 04:00:00+00:00,2.40,227.00
2016-10-28 05:00:00+00:00,2.90,222.00
2016-10-28 06:00:00+00:00,2.90,220.00
2016-10-28 07:00:00+00:00,3.20,220.00
2016-10-28 08:00:00+00:00,2.00,224.00
2016-10-28 09:00:00+00:00,2.20,223.00
2016-10-28 10:00:00+00:00,2.80,206.00
2016-10-28 11:00:00+00:00,3.70,213.00
2016-10-28 12:00:00+00:00,3.00,225.00
2016-10-28 13:00:00+00:00,3.10,199.00
2016-10-28 14:00:00+00:00,3.30,217.00
2016-10-28 15:00:00+00:00,2.40,236.00
2016-10-28 16:00:00+00:00,2.70,218.00
2016-10-28 17:00:00+00:00,2.00,163.00
2016-10-28 18:00:00+00:00,1.80,191.00
2016-10-28 19:00:00+00:00,3.00,184.00
2016-10-28 20:00:00+00:00,1.80,208.00
2016-10-28 21:00:00+00:00,1.80,105.00
2016-10-28 22:00:00+00:00,0.80,97.00
2016-10-28 23:00:00+00:00,0.90,85.00
2016-10-29 00:00:00+00:00,1.40,90.00
2016-10-29 01:00:00+00:00,1.40,91.00
2016-10-29 02:00:00+00:00,0.90,108.00
2016-10-29 03:00:00+00:00,1.00,81.00
2016-10-29 04:00:00+00:00,0.40,81.00
2016-10-29 05:00:00+00:00,1.00,98.00
2016-10-29 06:00:00+00:00,1.80,84.00
2016-10-29 07:00:00+00:00,1.30,80.00
2016-10-29 08:00:00+00:00,1.30,100.00
2016-10-29 09:00:00+00:00,2.00,102.00
2016-10-29 10:00:00+00:00,1.30,114.00
2016-10-29 11:00:00+00:00,1.40,109.00
2016-10-29 12:00:00+00:00,2.10,108.00
2016-10-29 13:00:00+00:00,2.40,90.00
2016-10-29 14:00:00+00:00,2.40,68.00
2016-10-29 15:00:00+00:00,2.30,87.00
2016-10-29 16:00:00+00:00,2.60,114.00
2016-10-29 17:00:00+00:00,1.90,108.00
2016-10-29 18:00:00+00:00,1.60,116.00
2016-10-29 19:00:00+00:00,1.80,105.00
2016-10-29 20:00:00+00:00,1.40,106.00
2016-10-29 21:00:00+00:00,1.20,124.00
2016-10-29 22:00:00+00:00,1.40,107.00
2016-10-29 23:00:00+00:00,1.50,119.00
2016-10-30 00:00:00+00:00,1.40,109.00
2016-10-30 01:00:00+00:00,1.00,118.00
2016-10-30 02:00:00+00:00,1.50,115.00
2016-10-30 03:00:00+00:00,2.20,87.00
2016-10-30 04:00:00+00:00,1.80,92.00
2016-10-30 05:00:00+00:00,2.00,102.00
2016-10-30 06:00:00+00:00,1.70,95.00
2016-10-30 07:00:00+00:00,1.20,91.00
2016-10-30 08:00:00+00:00,1.80,94.00
2016-10-30 09:00:00+00:00,2.00,98.00
2016-10-30 10:00:00+00:00,1.60,87.00
2016-10-30 11:00:00+00:00,3.00,100.00
2016-10-30 12:00:00+00:00,2.20,74.00
2016-10-30 13:00:00+00:00,2.80,98.00
2016-10-30 14:00:00+00:00,1.90,84.00
2016-10-30 15:00:00+00:00,1.70,85.00
2016-10-30 16:00:00+00:00,1.70,89.00
2016-10-30 17:00:00+00:00,1.40,123.00
2016-10-30 18:00:00+00:00,1.40,122.00
2016-10-30 19:00:00+00:00,1.20,89.00
2016-10-30 20:00:00+00:00,2.20,93.00
2016-10-30 21:00:00+00:00,1.60,80.00
2016-10-30 22:00:00+00:00,1.60,86.00
2016-10-30 23:00:00+00:00,1.80,83.00
2016-10-31 00:00:00+00:00,1.40,83.00
2016-10-31 01:00:00+00:00,1.40,75.00
2016-10-31 02:00:00+00:00,1.50,77.00
2016-10-31 03:00:00+00:00,1.10,78.00
2016-10-31 04:00:00+00:00,1.10,55.00
2016-10-31 05:00:00+00:00,1.10,69.00
2016-10-31 06:00:00+00:00,1.40,68.00
2016-10-31 07:00:00+00:00,1.20,65.00
2016-10-31 08:00:00+00:00,1.10,44.00
2016-10-31 09:00:00+00:00,1.00,81.00
2016-10-31 10:00:00+00:00,1.80,57.00
2016-10-31 11:00:00+00:00,1.30,60.00
2016-10-31 12:00:00+00:00,1.60,58.00
2016-10-31 13:00:00+00:00,1.40,72.00
2016-10-31 14:00:00+00:00,1.80,39.00
2016-10-31 15:00:00+00:00,1.90,12.00
2016-10-31 16:00:00+00:00,1.40,60.00
2016-10-31 17:00:00+00:00,1.50,30.00
2016-10-31 18:00:00+00:00,1.90,68.00
2016-10-31 19:00:00+00:00,1.60,72.00
2016-10-31 20:00:00+00:00,1.30,74.00
2016-10-31 21:00:00+00:00,1.40,96.00
2016-10-31 22:00:00+00:00,1.60,61.00
2016-10-31 23:00:00+00:00,1.60,76.00
2016-11-01 00:00:00+00:00,1.80,56.00
2016-11-01 01:00:00+00:00,1.60,48.00
2016-11-01 02:00:00+00:00,1.40,50.00
2016-11-01 03:00:00+00:00,0.90,65.00
2016-11-01 04:00:00+00:00,2.00,28.00
2016-11-01 05:00:00+00:00,0.90,61.00
2016-11-01 06:00:00+00:00,1.60,43.00
2016-11-01 07:00:00+00:00,1.40,32.00
2016-11-01 08:00:00+00:00,0.80,80.00
2016-11-01 09:00:00+00:00,0.70,28.00
2016-11-01 10:00:00+00:00,1.50,8.00
2016-11-01 11:00:00+00:00,1.70,334.00
2016-11-01 12:00:00+00:00,2.50,352.00
2016-11-01 13:00:00+00:00,2.70,3.00
2016-11-01 14:00:00+00:00,2.40,323.00
2016-11-01 15:00:00+00:00,3.40,337.00
