,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,5,21714332,JUIZ DE FORA - Linhares,CEMADEN,P,-43.32,-21.71858,,2021-05-10
1,6,20794936,SÃO JOSÉ DO RIO PRETO - Jardim Nazareth,CEMADEN,H,-49.36,-20.785,,2015-02-05
2,7,21174781,RIBEIRÃO PRETO - Centro,CEMADEN,H,-47.809,-21.172,,2015-02-05
3,8,21264782,RIBEIRÃO PRETO - Bonfim,CEMADEN,H,-47.823,-21.264,,2015-08-19
4,9,21834690,VARGEM GRANDE DO SUL - Centro,CEMADEN,H,-46.89509,-21.82982,,2015-11-12
5,10,22224763,CORUMBATAÍ - Centro,CEMADEN,H,-47.62652,-22.22107,,2015-10-07
6,11,22274695,ESTIVA GERBI - Centro,CEMADEN,H,-46.95078,-22.27079,,2015-10-26
7,12,22384911,BAURU- Rio Batalha,CEMADEN,H,-49.114,-22.38,,2015-07-01
8,13,22444683,ITAPIRA - Santa Cruz,CEMADEN,H,-46.83129,-22.44152,,2015-11-12
9,14,22544739,LIMEIRA - Campos Elíseos,CEMADEN,H,-47.394,-22.536,,2015-02-05
10,15,22574490,LAVRINHAS - Centro,CEMADEN,H,-44.902,-22.571,,2015-01-05
11,25,3214500,VIANA - Hospital Municipal Dom Helio Campos,CEMADEN,P,-45.00337,-3.20881,,2015-08-17
12,33,2554422,SÃO LUÍS - SeminarioEvangelicodoNorte,CEMADEN,P,-44.22408,-2.55189,,2015-08-17
13,35,3404220,MAGALHÃES DE ALMEIDA - PrefeituraMunicipal,CEMADEN,P,-42.20469,-3.39947,,2015-08-17
14,36,4384434,PERITORÓ - Prefeitura Municipal,CEMADEN,P,-44.33934,-4.37822,,2015-08-17
15,37,2504428,SÃO LUÍS - Academia de Policia Militar Gonçalves Dias,CEMADEN,P,-44.28158,-2.4991,,2015-08-17
16,38,7084481,SÃO FÉLIX DE BALSAS - Sao Felix de Balsas,CEMADEN,P,-44.8116,-7.08371,,2015-08-17
17,39,19794376,ALPERCATA - Ravena,CEMADEN,P,-43.755,-19.79,,2014-08-04
18,40,4374466,SÃO LUÍS GONZAGA DO MARANHÃO - CrecheMunicipal,CEMADEN,P,-44.66434,-4.37407,,2015-08-17
