,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,206,23474758,Brejauva,Duke,H,-47.5808,-23.4705,,2015-05-27
1,457,22524949,Salto Grande,Duke,H,-49.5917,-22.521,,2015-06-03
2,491,22175125,Anhumas,Duke,H,-51.2527,-22.173,,2015-06-03
3,492,22454914,Fazenda São Paulo,Duke,H,-49.1435,-22.4544,,2015-06-03
4,650,20434788,PCH Retiro Barramento,Duke,H,-47.8881,-20.4381,,2016-10-06
5,819,20544781,PCH Palmeiras Barramento,Duke,H,-47.8136,-20.5481,550.0,2016-10-06
6,856,20434789,PCH Retiro Jusante,Duke,H,-47.8906,-20.4375,519.0,2016-10-06
7,1654,22435008,Palmital,Duke,H,-50.0809,-22.432,,2016-09-29
8,1660,22315201,Pirapozinho,Duke,H,-52.0144,-22.313,,2016-09-29
9,1903,22455028,Candido Mota,Duke,H,-50.281,-22.4512,,2016-09-29
10,1989,22365010,Platina,Duke,H,-50.1051,-22.3629,,2016-09-29
11,3355,22515005,Ibirarema,Duke,H,-50.0537,-22.5159,,2016-09-29
12,3376,22435310,Porto São José,Duke,H,-53.1036,-22.4306,,2015-06-02
13,3660,22495136,Centenário do Sul,Duke,H,-51.361,-22.4954,,2015-06-03
