,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,31,26204901,Quiriri,Epagri/Ciram,H,-49.01889,-26.20917,106.0,2011-01-01
1,32,26914923,Indaial,Epagri/Ciram,H,-49.23417,-26.91361,60.0,2011-01-01
2,61,25284900,Roça Nova,Epagri/Ciram,P,-49.0,-25.4728,,2010-02-25
3,139,25394911,Pinhais,Epagri/Ciram,P,-49.1186,-25.39,945.0,2010-06-15
4,428,27034865,Rio Pequeno,Epagri/Ciram,M,-48.64,-27.03,,2016-03-01
5,429,27414961,Ituporanga-SDS,Epagri/Ciram,M,-49.6,-27.41,,2015-04-08
6,430,27134951,UHE Salto Pilão - Vazão Sanitária,Epagri/Ciram,H,-49.51,-27.13,,2015-04-08
7,431,26715150,Água Doce - Trento,Epagri/Ciram,M,-51.5,-26.71,,2015-04-08
8,432,28734940,Criciúma,Epagri/Ciram,M,-49.4,-28.73,,2015-04-08
9,433,27225112,Tangará - Trento,Epagri/Ciram,M,-51.12,-27.22,,2015-04-08
10,434,26714890,Luiz Alves - MDA,Epagri/Ciram,M,-48.9,-26.71,,2015-04-08
11,435,26974961,José Boiteux - MDA,Epagri/Ciram,M,-49.61,-26.97,,2015-04-08
12,436,26344898,Joinville - Vila Nova - MDA,Epagri/Ciram,M,-48.98,-26.34,,2015-04-08
13,437,26744941,Benedito Novo - Santa Maria - MDA,Epagri/Ciram,M,-49.41,-26.74,,2015-04-08
14,438,27474912,Major Gercino - Campinho - MDA,Epagri/Ciram,M,-49.12,-27.47,,2015-04-08
15,439,28654901,Jaguaruna,Epagri/Ciram,M,-49.01,-28.65,,2015-04-08
16,440,26554923,Jaraguá do Sul - MDA,Epagri/Ciram,M,-49.23,-26.55,,2015-04-08
17,441,27525154,Zortea - SDS,Epagri/Ciram,M,-51.54,-27.52,,2015-04-08
18,442,26534887,Guaramirim - MDA,Epagri/Ciram,M,-48.87,-26.53,,2015-04-08
19,443,27084947,UHE Salto Pilão - Vazão Reduzida 02	,Epagri/Ciram,H,-49.47,-27.08,,2015-04-08
20,444,27134860,Itapema -SDS,Epagri/Ciram,M,-48.6,-27.13,,2015-04-08
21,445,27084951,UHE Salto Pilão - Vazão Reduzida 01	,Epagri/Ciram,H,-49.51,-27.08,,2015-04-08
22,446,27054870,Camboriú - Rio do Braço,Epagri/Ciram,M,-48.7,-27.05,,2015-04-08
23,480,26844885,Ilhota - Baú Central - MDA,Epagri/Ciram,M,-48.85,-26.84,,2015-04-08
24,481,26614901,Massaranduba - MDA,Epagri/Ciram,M,-49.01,-26.61,,2015-04-08
25,486,28134948,Urubici - Morro da Igreja,Epagri/Ciram,M,-49.48333,-28.13333,1810.0,2010-01-01
26,489,25784976,Lapa,Epagri/Ciram,P,-49.7625,-25.7817,945.0,2010-06-18
27,507,28274993,São Joaquim,Epagri/Ciram,M,-49.93417,-28.27528,1376.0,2011-01-03
28,511,26775350,São Miguel do Oeste,Epagri/Ciram,M,-53.50389,-26.77611,700.0,2014-01-01
29,512,27414964,Ituporanga,Epagri/Ciram,M,-49.64611,-27.41861,475.0,2014-01-01
30,513,27285056,Curitibanos,Epagri/Ciram,M,-50.56667,-27.28333,1040.0,2011-01-01
