,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,378,30055136,Eldourado do Sul,FEPAGRO,M,-51.3657,-30.0502,0.0,2017-07-24
1,379,30555240,Encruzilhada do Sul,FEPAGRO,M,-52.4075,-30.55306,0.0,2017-08-23
2,380,31395392,Hulha Negra,FEPAGRO,M,-53.92528,-31.39389,0.0,2017-08-23
3,381,29185369,Júlio de Castilhos,FEPAGRO,M,-53.69,-29.18,0.0,2017-08-17
4,382,29675391,Santa Maria,FEPAGRO,M,-53.91,-29.67,0.0,2017-08-16
5,383,29795182,Taquari,FEPAGRO,M,-51.8275,-29.79167,0.0,2017-09-18
6,384,28455094,Vacaria,FEPAGRO,M,-50.94694,-28.45389,0.0,2017-09-25
7,385,28885240,Veranópolis,FEPAGRO,M,-51.54278,-28.88889,0.0,2017-10-03
8,386,30045101,Viamão,FEPAGRO,M,-51.0122,-30.0451,0.0,2017-07-24
9,581,29665021,Maquiné,FEPAGRO,M,-50.21299,-29.6605,,2018-08-07
10,603,29955112,Cachoeirinha,FEPAGRO,M,-51.1242,-29.9513,,2018-09-26
11,757,31715230,Pelotas,FEPAGRO,M,-52.3092,-31.7165,,2018-10-03
12,5109,30335426,São Gabriel,FEPAGRO,M,-54.26334,-30.33572,,2018-08-13
13,5140,29145098,Caxias do Sul,FEPAGRO,M,-50.98785,-29.14175,,2018-08-07
