,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,213,11094830,Areias,INVESTCO,H,-48.3389,-10.896,0.0,2002-05-08
1,586,11094831,Fazenda Angical,INVESTCO,H,-48.3389,-10.896,,2002-05-08
2,641,9694837,Lucena,INVESTCO,H,-48.3728,-9.69,189.0,2010-10-21
3,645,9564837,Tocantínia,INVESTCO,H,-48.3728,-9.5669,184.0,2010-10-22
4,695,9444821,Lajeado Jusante,INVESTCO,F,-48.3627,-9.7446,0.0,2002-05-02
5,696,9444822,Lajeado Montante,INVESTCO,H,-48.3627,-9.7446,0.0,2002-05-02
6,2101,11584839,Jacinto,INVESTCO,H,-48.65719,-11.98175,0.0,2002-04-30
7,2104,11454750,Porto Jerônimo,INVESTCO,H,-47.8363,-11.75803,0.0,2002-04-30
8,2481,11144827,Ipueiras,INVESTCO,H,-47.8363,-11.2469,0.0,2002-05-02
9,2484,10204838,Mangues,INVESTCO,H,-48.6347,-10.3447,0.0,2002-05-02
10,2556,11154830,Faz Jurupari,INVESTCO,H,-48.5147,-11.2569,0.0,2002-05-08
