,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,450,26475197,Palmas,Iapar,M,-51.97467,-26.46711,1093.0,2015-12-11
1,482,23105244,Paranavaí,Iapar,M,-52.4392,-23.09864,450.0,2015-08-01
2,594,26125265,Pato Branco,Iapar,M,-52.65192,-26.12338,716.0,2015-08-01
3,595,26085306,Francisco Beltrão,Iapar,M,-53.06419,-26.08391,628.0,2015-08-01
4,598,25095359,Santa Tereza d´Oeste,Iapar,M,-53.58962,-25.0876,752.0,2015-08-01
5,618,25435059,Fernandes Pinheiro / Irati,Iapar,M,-50.59503,-25.44331,872.0,2015-08-01
6,619,23795360,Xambrê,Iapar,M,-53.59621,-23.79221,370.0,2015-08-01
7,620,25725375,Planalto,Iapar,M,-53.74788,-25.72189,400.0,2015-08-01
8,621,24325390,Palotina,Iapar,M,-53.90377,-24.31672,309.0,2015-08-01
9,622,25514881,Morretes,Iapar,M,-48.80859,-25.50898,50.0,2015-08-01
10,627,23504995,Joaquim Távora,Iapar,M,-49.94662,-23.50528,515.0,2015-08-01
11,630,24685257,Nova Cantu,Iapar,M,-52.56918,-24.67761,548.0,2015-08-01
12,637,25125008,Ponta Grossa,Iapar,M,-50.07671,-25.1196,899.0,2015-08-01
13,638,23115036,Bandeirantes,Iapar,M,-50.35681,-23.11396,444.0,2015-08-01
14,639,24305060,Telêmaco Borba,Iapar,M,-50.59946,-24.29734,775.0,2015-08-01
15,640,23265102,Ibiporã,Iapar,M,-51.02527,-23.26521,484.0,2015-08-01
16,642,23365116,Londrina,Iapar,M,-51.16474,-23.35951,586.0,2015-08-01
17,643,23025122,Bela Vista do Paraíso,Iapar,M,-51.21959,-23.01807,571.0,2015-08-01
18,644,25385149,Guarapuava,Iapar,M,-51.49391,-25.38495,1029.0,2015-08-01
19,665,26425235,Clevelândia,Iapar,M,-52.34859,-26.41723,966.0,2015-08-01
20,717,25784977,Lapa,Iapar,M,-49.76035,-25.78212,903.0,2015-08-01
21,3754,25244852,Guaraqueçaba,Iapar,M,-48.52261,-25.23815,33.0,2015-08-01
