,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,469,22294355,Vargem Alegre,LIGHT,F,-43.92961,-22.49789,,
1,470,22464405,VÁRZEA - DESVIO P_TÚNEL,LIGHT,H,-44.0906,-22.7714,,
2,472,21504234,ILHA DO POMBOS - TOMADA DAGUA ,LIGHT,F,-42.5781,-21.8436,,
3,473,21514236,ILHA DOS POMBOS - BARRAGEM ,LIGHT,H,-42.6064,-21.8525,,
4,474,21504230,Ilha dos Pombos - Confluência,LIGHT,F,-42.58172,-21.83544,,
5,475,22404351,Canal Vigário - Perda de Carga,LIGHT,F,-43.87306,-22.68306,,
6,476,22084309,FAZENDA BARREIRA ,LIGHT,F,-43.1586,-22.1414,,
7,477,22394357,FAZENDA NOVA ESPERANÇA ,LIGHT,H,-43.9567,-22.6625,,
8,478,22054309,FAZENDA PIRACEMA ,LIGHT,F,-43.1511,-22.0864,,
9,479,22414351,FONTES - CALHA DA CEDAE ,LIGHT,F,-43.8633,-22.6914,,
10,498,23244536,PARAIBUNA - JUSANTE,LIGHT,F,-45.6078,-23.4142,,
11,499,22414349,PEREIRA PASSOS - JUSANTE ,LIGHT,H,-43.8222,-22.6861,,
12,500,22414350,PEREIRA PASSOS - MONTANTE ,LIGHT,F,-43.825,-22.6858,,
13,501,21534241,PORTO NOVO DO CUNHA ,LIGHT,F,-42.7,-21.8833,,
14,1480,22474403,ROSÁRIO - SAÍDA_TÚNEL,LIGHT,F,-44.0503,-22.7911,,
15,1598,22474411,Rio do Braço,LIGHT,F,-44.18797,-22.78464,,
16,1623,23224553,SANTA BRANCA - JUSANTE,LIGHT,F,-45.8778,-23.3672,,
17,1624,23224552,SANTA BRANCA - MONTANTE,LIGHT,H,-45.8694,-23.3731,,
18,1625,22314349,SANTANA - MONTANTE,LIGHT,H,-43.8186,-22.5314,,
19,1626,21594254,SAPUCAIA,LIGHT,H,-42.9044,-21.9875,,
20,1653,22284351,STA. CECÍLIA - ENT BOMBAS,LIGHT,H,-43.8389,-22.4825,,
21,1655,22284350,STA. CECÍLIA - JUSANTE,LIGHT,F,-43.8344,-22.4792,,
22,1656,22304349,STA. CECÍLIA - SAÍDA TÚNEL,LIGHT,F,-43.8242,-22.5111,,
23,1662,22494411,LÍDICE FLU,LIGHT,F,-44.1986,-22.8319,,
24,1663,22324346,MORSING ,LIGHT,H,-43.7775,-22.5389,,
25,1664,22414352,NILO PEÇANHA - CANAL VIGÁRIO,LIGHT,H,-43.8731,-22.6833,,
26,1667,22424352,LAJES - MONTANTE,LIGHT,H,-43.8808,-22.7022,,
27,1671,23184558,JACAREÍ,LIGHT,H,-45.9711,-23.3106,,
28,1673,22074312,TRÊS RIOS,LIGHT,F,-43.2075,-22.1197,,
29,1675,23244601,GUARAREMA,LIGHT,H,-46.0244,-23.4153,,
30,1677,21504235,ILHA DO POMBOS - DESCARGA ,LIGHT,F,-42.5833,-21.8333,,
31,1678,22274347,BARRA DO PIRAÍ - OFICIAL,LIGHT,H,-43.7972,-22.45,,
32,1683,22444407,TÓCOS - MONTANTE,LIGHT,H,-44.1247,-22.7489,,
33,1684,22414400,PASSA TRES,LIGHT,P,-44.0067,-22.6922,,
34,1685,22374354,VIGÁRIO - DESCARGA DAGUA,LIGHT,H,-43.895,-22.63,,
35,1686,22374353,VIGÁRIO - TOMADA DAGUA ,LIGHT,F,-43.895,-22.6289,,
36,1687,22304405,VOLTA REDONDA,LIGHT,H,-44.0914,-22.5014,,
