,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,63,23995074,Mococa,Maua,H,-50.74372,-23.9972,660.0,2017-06-09
1,163,23675091,Barão de Antonina,Maua,H,-50.91001,-23.67372,0.0,2017-07-07
2,233,25075038,Uvaia,Maua,H,-50.38847,-25.07553,,2013-06-20
3,296,24095051,Fazenda Santana,Maua,H,-50.86,-24.15,,2010-02-08
4,409,24505040,Porto de Areia Tibagi Montante,Maua,H,-50.41044,-24.51042,,2010-02-19
5,597,24485036,Fazenda Manzanilha Montante,Maua,H,-50.36242,-24.48814,706.0,2010-04-06
6,605,24035069,Barra Ribeirão das Antas,Maua,H,-50.69134,-24.03186,517.0,2010-03-03
7,632,24125076,Ponte do Barra Grande,Maua,H,-50.76836,-24.12441,,2013-07-02
8,967,24045069,UHE Mauá - Câmara de carga,Maua,H,-50.69362,-24.04481,660.0,2019-08-20
9,969,24065069,UHE Mauá - entrada túnel Câmara de carga,Maua,H,-50.69712,-24.06189,741.0,2019-09-04
10,1886,24055071,Barragem UHE Mauá,Maua,H,-50.70584,-24.06005,0.0,2012-03-22
