,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,0,23204670,Rio Jundiaí em Campo Limpo Paulista,SAISP,H,-46.76028,-23.20878,,2021-04-20
1,1,23004624,Rio Cachoeira - Cachoeira montante,SAISP,H,-46.2395,-23.0062,,2021-04-20
2,2,22764710,Ribeirão Anhumas Foz,SAISP,H,-47.09441,-22.76964,,2021-04-20
3,3,22964728,Rio Capivari Mirim em Monte Mor,SAISP,H,-47.28874,-22.96852,,2021-04-20
4,4,22814719,Ribeirão Quilombo em Sumaré,SAISP,H,-47.19845,-22.81895,,2021-04-20
5,95,22714765,SEMAE - Piracicaba,SAISP,H,-47.6502,-22.7128,,
6,421,23174639,Barragem Atibainha,SAISP,H,-46.39273,-23.17392,,2019-01-01
7,466,23014669,PCH Salto Grande - Pedras de Ouro,SAISP,H,-46.69263,-23.0189,,2019-01-01
8,471,22694728,UHE Americana - Jusante,SAISP,H,-47.28634,-22.69735,,2019-01-01
9,521,22974632,Barragem Jacareí,SAISP,H,-46.32998,-22.97222,,2019-01-01
10,546,23054631,Barragem Cachoeira,SAISP,H,-46.31928,-23.05083,,2019-01-01
11,577,22874636,Rio Jaguari - Pires,SAISP,H,-46.36222,-22.87167,,2019-01-01
12,579,22864635,Rio Jaguari,SAISP,H,-46.35881,-22.86681,,2019-01-01
13,1001,23164641,Rio Atibainha em Nazaré Paulista,SAISP,H,-46.41611,-23.16638,,
14,1002,23104627,Rio Atibainha Montante - Atibainha,SAISP,H,-46.27339,-23.10214,,
15,1017,22734732,ETA Americana,SAISP,H,-47.3209,-22.7304,,
16,1018,22584751,ETA Iracemápolis,SAISP,H,-47.5179,-22.5821,,
17,1019,22604752,ETE Iracemápolis,SAISP,H,-47.5251,-22.602,,
18,1020,23164691,Estação Elevatória Jundiaí,SAISP,H,-46.9099,-23.1602,,
19,5076,22694738,Rio Piracicaba em Aimaratá (D4-135T/4D-043T),SAISP,H,-47.38393,-22.69128,,2018-01-01
20,5077,22704698,Rio Jaguari em Jaguariuna (D3-045T/3D-008T),SAISP,H,-46.99999,-22.70326,,2018-01-01
21,5078,22704775,Rio Piracicaba em Artemis (D4-061T/4D-007T),SAISP,H,-47.75145,-22.70186,,2018-01-01
22,5079,22954732,Rio Capivari Sabesp Monte Mor,SAISP,H,-47.32134,-22.95472,,2018-07-20
23,5080,22714678,Rio Camanducaia em Amparo,SAISP,H,-46.78082,-22.7115,,2017-12-18
24,5081,22694712,Rio Jaguari Captação Petrobrás (D4-123/4D-034 ),SAISP,H,-47.12314,-22.69705,,
25,5082,22734748,Rio Piracicaba em Santa Bárbara Doeste,SAISP,H,-47.483,-22.7357,,2017-12-18
