,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,321,25364924,Araucária,Suderhsa,A,-49.3981,-25.6002,897.0,2008-01-01
1,411,25314912,Cidade Jardim,Suderhsa,F,-49.2141,-25.5238,906.0,
2,719,25334904,Chácara Guajubi,Suderhsa,P,-49.0716,-25.5455,906.0,2008-01-01
3,722,25364916,Ponte do Umbarazinho,Suderhsa,Q,-49.2611,-25.5989,906.0,2008-01-01
4,724,25314909,Fazendinha,Suderhsa,Q,-49.1469,-25.5189,906.0,2008-01-01
5,726,25414911,Campo Largo da Roseira,Suderhsa,P,-49.1777,-25.6752,906.0,2008-01-01
6,728,25354910,Grammer,Suderhsa,P,-49.1717,-25.5837,906.0,2008-01-01
7,738,25354938,Balsa Nova,Suderhsa,Q,-49.632,-25.587,865.0,2002-07-04
8,4153,25324933,Formigas,Suderhsa,H,-49.5445,-25.5376,897.0,2009-02-16
9,4163,25274912,Autódromo,Suderhsa,Q,-49.198,-25.4466,,2002-07-04
10,4164,25274910,Pinhais,Suderhsa,Q,-49.1716,-25.4537,,2002-07-04
11,4165,25374921,Ponte da Caximba,Suderhsa,Q,-49.357,-25.6136,,2002-07-04
12,4166,25324924,Olaria Pioli,Suderhsa,H,-49.3936,-25.5327,897.0,2008-01-01
13,4184,25414932,Contenda,Suderhsa,P,-49.5411,-25.6794,,2008-01-01
14,4189,25474919,Mandirituba,Suderhsa,P,-49.3246,-25.7668,,2008-01-01
15,4192,25294902,Entremar,Suderhsa,P,-49.0409,-25.4889,,2008-01-01
16,4198,25224904,Quatro Barras,Suderhsa,P,-49.0739,-25.3667,,2008-01-01
17,4201,25254923,BR_277 Campo Largo,Suderhsa,P,-49.3868,-25.4086,,2008-01-01
18,4202,25264928,Bom Jesus da Aldeia,Suderhsa,P,-49.473,-25.4415,,2008-01-01
19,4204,25284934,Santa Cecília,Suderhsa,P,-49.5702,-25.462,,2008-01-01
20,4209,25294911,Ponte BR_277,Suderhsa,Q,-49.1898,-25.4828,,2008-01-02
21,4210,25274907,Olaria do Estado,Suderhsa,Q,-49.1198,-25.4429,,2008-01-02
22,4214,25174914,Colombo,Suderhsa,P,-49.2308,-25.2873,,2008-02-19
23,4265,25274915,Prado Velho,Suderhsa,Q,-49.249,-25.4499,,2002-09-25
24,4269,25274903,São Cristóvão,Suderhsa,P,-49.0495,-25.4514,,2008-01-01
25,4274,25314913,ETE-SANEPAR,Suderhsa,Q,-49.2124,-25.5172,,2008-01-01
