,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,209,11895565,Ponte MT 222,UHE Colíder,H,-55.65611,-11.89383,300.0,2012-09-19
1,368,10955555,Fazenda Tratex,UHE Colíder,H,-55.55363,-10.95224,,2017-04-03
2,403,10605582,Pousada Portal Teles Pires,UHE Colíder,H,-55.8238,-10.6042,,2018-05-23
3,404,10985583,Pesqueiro do Gil,UHE Colíder,H,-55.8391,-10.983,,2018-05-21
4,405,10895586,Pesqueiro do Edson,UHE Colíder,H,-55.86917,-10.89036,,2018-06-01
5,671,10985577,Colíder Jusante,UHE Colíder,H,-55.77049,-10.98404,0.0,2012-05-29
6,718,10985578,Canal de restituição - Esquerda,UHE Colíder,H,-10.98092,-55.77064,328.0,2018-09-12
7,751,10975577,Montante da Barragem UHE Colíder,UHE Colíder,H,-55.76756,-10.97843,328.0,2018-09-12
8,752,10985575,Canal de restituição - Direita,UHE Colíder,H,-55.77145,-10.97895,328.0,2018-09-12
9,756,10985576,Canal de dissipação,UHE Colíder,H,-55.76865,-10.97905,328.0,2018-09-12
10,762,11655570,Cachoeirão,UHE Colíder,H,-55.70217,-11.65128,,2012-07-30
11,765,12255594,Ponte MT 242,UHE Colíder,H,-55.94958,-12.25897,305.0,2012-09-19
12,1118,10975576,Colíder Barramento,UHE Colíder,H,-55.7699,-10.97307,,2017-03-16
13,2239,10955577,UHE Colider,UHE Colíder,M,-55.7794,-10.9546,403.0,2012-05-02
