,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,86,12113927,Bravo,UHE Pedra do Cavalo,H,-39.2707,-12.11,,2009-10-11
1,200,11084415,Mulungu do Morro,UHE Pedra do Cavalo,H,-44.15,-11.08,,
2,201,12353859,Barragem Jusante,UHE Pedra do Cavalo,H,-38.5913,-12.3547,,2010-07-23
3,222,12034120,Fazenda Ribeiro,UHE Pedra do Cavalo,H,-41.2051,-12.0336,,
4,237,12303950,Fazenda Santa Fé,UHE Pedra do Cavalo,H,-39.5053,-12.3056,,2010-07-01
5,487,12303922,Ponte Patatigi - BR 163,UHE Pedra do Cavalo,H,-39.2258,-12.3054,,2009-10-11
6,488,12353858,Barragem Jusante Paraguaçu,UHE Pedra do Cavalo,H,-38.5918,-12.3504,,
7,490,12424149,Boninal,UHE Pedra do Cavalo,H,-41.4935,-12.4256,,2009-10-11
8,548,11544010,Baixa Grande,UHE Pedra do Cavalo,H,-40.1056,-11.5425,,2009-10-11
9,549,12394035,Boa Vista do Tupim,UHE Pedra do Cavalo,H,-40.3518,-12.3916,,2009-10-11
10,572,12014103,Estação Experimental - Utinga,UHE Pedra do Cavalo,H,-41.0317,-12.0109,,2009-10-11
11,574,11503958,Pintadas,UHE Pedra do Cavalo,H,-39.5806,-11.5008,,2009-10-11
12,588,11493937,Pé de Serra,UHE Pedra do Cavalo,H,-39.372,-11.4954,,2009-10-11
13,589,12353931,Ponte Paraguaçu,UHE Pedra do Cavalo,H,-39.312,-12.3509,,2009-10-11
14,591,12544151,Fazenda Cruz,UHE Pedra do Cavalo,H,-41.5156,-12.5419,,2009-10-11
15,593,12144048,Tapiraípe,UHE Pedra do Cavalo,H,-40.48,-12.1403,,2009-10-11
16,625,12133902,Ponte Rio Branco,UHE Pedra do Cavalo,H,-39.0245,-12.1358,,2009-10-11
17,626,13094046,Machado Portela,UHE Pedra do Cavalo,H,-40.46,-13.0907,,2009-10-11
18,636,11384057,Fazenda Ventura,UHE Pedra do Cavalo,H,-40.5701,-11.3857,,2009-10-11
