,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,196,22934383,Vale-Pluviométrica,ValeES,P,-43.83,-22.93,0.0,2019-04-18
1,410,18794083,Barra de São Francisco,ValeES,M,-40.8394,-18.7915,254.0,2017-03-29
2,677,20294025,Porto de Tubarão - Vitória / ES,ValeES,M,-40.25218,-20.29037,12.0,2018-01-29
3,688,19104063,São Domingos do Norte,ValeES,M,-40.6323,-19.1032,255.0,2017-03-28
4,772,18094009,Pedro Canário,ValeES,M,-40.0981,-18.0986,99.0,2017-03-29
5,779,18854110,Mantenopolis,ValeES,M,-41.1033,-18.8529,679.0,2017-03-28
6,886,19154033,Rio Bananal,ValeES,M,-40.3394,-19.156,89.0,2017-04-02
7,888,20594095,Alfredo Chaves,ValeES,M,-40.9561,-20.5919,1056.0,2017-03-26
8,889,20864090,Rio Novo do Sul,ValeES,M,-40.9072,-20.8625,84.0,2017-04-04
9,893,21124137,Mimoso do Sul,ValeES,M,-41.3798,-21.1212,172.0,2017-04-01
10,4609,20464140,Muniz Freire,ValeES,M,-41.4002,-20.466,614.0,2017-03-27
11,4677,19494076,Colatina,ValeES,M,-40.766,-19.4969,84.0,2017-03-28
12,4684,18724018,São Mateus,ValeES,M,-40.1833,-18.7254,103.0,2017-05-04
13,4686,18434082,Ecoporanga,ValeES,M,-40.8297,-18.434,226.0,2017-03-28
14,4687,19463976,Linhares,ValeES,M,-39.7632,-19.4631,6.0,2017-03-28
15,4689,20794167,Guaçui,ValeES,M,-41.6662,-20.7929,710.0,2017-03-28
16,4690,19874088,Itarana,ValeES,M,-40.8753,-19.8739,222.0,2017-03-28
17,4695,19874031,Aracruz,ValeES,M,-40.3105,-19.8739,78.0,2017-03-28
18,4697,19114007,Sooretama,ValeES,M,-40.0799,-19.1178,58.0,2017-03-28
19,4699,20744061,Anchieta,ValeES,M,-40.6133,-20.7445,14.0,2017-04-05
20,4700,20754129,Jeronimo Monteiro (Bananal do Norte),ValeES,M,-41.292,-20.7511,135.0,
21,4701,19774041,João Neiva,ValeES,M,-40.4146,-19.775,69.0,2017-03-29
22,4712,20284080,Domingos Martins,ValeES,M,-40.8066,-20.2814,767.0,2017-03-25
23,4713,20154129,Brejetuba,ValeES,M,-41.2967,-20.1538,943.0,2017-03-30
24,4714,20094083,Santa Maria do Jetibá,ValeES,M,-40.8309,-20.0999,992.0,2017-03-29
25,4715,20374052,Viana,ValeES,M,-40.5216,-20.3716,50.0,2017-03-24
26,4729,20384119,Venda Nova do Imigrante,ValeES,M,-41.1893,-20.3855,754.0,2017-03-28
