,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,44,23445260,Japurá,Águas Paraná,H,-52.60472,-23.44139,,2014-02-04
1,56,25464925,Horto Municipal,Águas Paraná,H,-49.2506,-25.463,,2017-05-15
2,58,25474932,Santa Quitéria,Águas Paraná,H,-49.32372,-25.47175,,2017-05-15
3,136,25854940,Quitandinha,Águas Paraná,H,-49.52617,-25.85582,,2014-02-20
4,137,25544941,Olaria Pioli,Águas Paraná,H,-49.41009,-25.5474,906.0,2016-03-23
5,408,25464957,Santa Cecília,Águas Paraná,P,-49.57091,-25.46276,,2016-06-14
6,633,23315099,Chacara Ana Claudia,Águas Paraná,H,-50.99606,-23.31264,,2014-02-04
7,676,25594916,Grammer Sanepar,Águas Paraná,P,-49.1677,-25.58524,906.0,2016-01-25
8,736,25514914,Fazendinha,Águas Paraná,H,-49.14685,-25.5192,906.0,2013-07-14
9,737,25584963,Balsa Nova,Águas Paraná,H,-49.63189,-25.58722,865.0,2014-02-04
10,800,25454912,Ponte PR 415,Águas Paraná,H,-49.12135,-25.45058,,2014-01-01
11,824,26214960,Rio Preto Do Sul,Águas Paraná,H,-49.60361,-26.21556,,2014-02-20
12,825,24654901,Capela Da Ribeira,Águas Paraná,H,-49.01097,-24.65745,,2013-09-08
13,826,26085307,Eta Francisco Beltrão,Águas Paraná,H,-53.07481,-26.08142,,2013-07-15
14,827,24844927,Cerro Azul Montante,Águas Paraná,H,-49.27336,-24.84357,,2013-09-08
15,828,24904944,Foz São Sebastião,Águas Paraná,H,-49.44163,-24.90348,,2013-09-08
16,857,24024948,Colonia Barro Preto,Águas Paraná,H,-49.48056,-24.02222,623.0,2014-02-04
17,859,24264973,Jaguariaíva,Águas Paraná,H,-49.73167,-24.26417,,2014-02-04
18,1505,26155302,Eta Marmeleiro,Águas Paraná,H,-53.02388,-26.15827,625.0,2013-07-15
19,1514,25484919,Ponte BR 277,Águas Paraná,H,-49.19011,-25.48353,,2016-05-18
20,1515,25524921,Cidade Jardim,Águas Paraná,H,-49.21472,-25.52456,906.0,2013-08-29
21,2470,26075306,Bombeiros Francisco Beltrão,Águas Paraná,H,-53.06369,-26.07353,,2016-09-21
22,2505,25434888,Porto de Cima,Águas Paraná,H,-48.8811,-25.434,39.0,2011-12-02
23,2601,25514921,ETE- Sanepar,Águas Paraná,H,-49.21279,-25.51781,877.0,2016-06-27
24,2731,25474883,Morretes,Águas Paraná,H,-48.8303,-25.4775,9.0,2011-12-22
25,2774,24724853,Corrego Comprido,Águas Paraná,H,-48.53489,-24.72708,,2013-09-08
26,2866,25604939,Araucária,Águas Paraná,H,-49.39793,-25.60161,869.0,2016-07-04
27,2923,25424938,Ponte BR 277 Campo Largo,Águas Paraná,H,-49.38794,-25.42697,,2016-06-13
28,2930,25484904,Entremar,Águas Paraná,P,-49.04107,-25.48915,,2016-06-23
29,3105,25364907,Quatro Barras,Águas Paraná,P,-49.074,-25.36761,,2016-06-14
30,3751,25484918,Comp.  C. Água Limpa,Águas Paraná,H,-49.18133,-25.48581,906.0,2013-09-08
