,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,t_med_medio,v_vento_medio,ini_temp,fim_temp,ini_vento,fim_vento
0,23855385,Altônia,Simepar,-53.85237,-23.85808,368.0,23.39961976320582,2.656852459016395,2017-08-04,2021-08-24,2017-08-04,2021-08-24
1,24555296,Ubiratã,Simepar,-52.96648,-24.5545,529.0,21.869061930783246,3.256376593806922,2017-08-16,2021-08-24,2017-08-16,2021-08-24
2,25345331,N.Prata do Iguaçu,Simepar,-53.5166,-25.5666,546.3,20.403729356405574,3.9562896174863424,1997-06-01,2007-04-03,1997-06-01,2007-04-03
3,25554836,Techint,Simepar,-48.36707,-25.55347,30.0,21.30753881278539,2.8410958904109584,2016-11-17,2019-01-07,2016-11-17,2019-01-07
4,24075240,Campo Mourão,Simepar,-52.40387,-24.07305,601.0,20.344722677595634,2.5260628415300532,2017-02-09,2021-08-24,2017-02-09,2021-08-24
5,25174828,Reserva Natural Salto Morato,Simepar,-48.2881,-25.1779,32.0,21.224237677319657,0.3122234917480818,2011-03-24,2021-08-24,2011-03-24,2021-08-24
6,25425241,Laranjeiras do Sul,Simepar,-52.41211,-25.42767,838.0,19.546942167577413,3.0748884335154822,2017-11-06,2021-08-24,2017-11-06,2021-08-24
7,25264916,Curitiba,Simepar,-49.23033,-25.44817,935.0,17.862470753148024,2.0851923477468914,1997-06-01,2021-08-24,1997-06-01,2021-08-24
8,25505367,Baixo Iguaçu,Simepar,-53.67738,-25.50895,274.0,21.739017759562838,1.6963360655737718,2017-07-28,2021-08-24,2017-07-28,2021-08-24
9,22915315,Loanda,Simepar,-53.15146,-22.91718,491.0,23.94014071038252,2.9516256830601115,2017-07-19,2021-08-24,2017-07-19,2021-08-24
10,23605062,Cornélio Procópio,Simepar,-50.62793,-23.20645,647.0,21.648938979963585,3.0353460837887076,2018-08-16,2021-08-24,2018-08-16,2021-08-24
11,26585152,Palmas - Horizonte,Simepar,-51.52019,-26.5829,1344.0,15.491311475409823,4.676270491803277,2019-11-20,2021-08-24,2019-11-20,2021-08-24
12,25315301,Salto Osorio,Simepar,-53.03087,-25.52213,514.0,20.758020079798754,0.9604424825725514,1999-07-22,2019-12-15,1999-07-22,2019-12-15
13,25435458,Foz do Iguaçu - Itaipu,Simepar,-54.58286,-25.4361,168.0,21.479945355191248,1.8750027322404361,2017-05-09,2021-08-24,2017-05-09,2021-08-24
14,23395232,Cianorte,Simepar,-52.5476,-23.6522,451.0,21.559957340018823,2.1489325196661264,2002-04-04,2016-09-13,2002-04-04,2016-09-14
15,26055139,Foz do Areia,Simepar,-51.6679,-26.0037,780.0,18.452275070350165,2.6681415481050217,1997-06-01,2021-05-29,1997-06-01,2021-05-29
16,26145103,União da Vitória,Simepar,-51.06827,-26.22825,756.53,17.906374348618055,1.544132295873921,1997-06-01,2021-08-24,1997-06-01,2021-08-24
17,23695263,Cianorte Cocamar,Simepar,-52.63736,-23.69372,534.0,22.594129781420783,2.2031379781420743,2016-09-14,2021-08-24,2016-09-14,2021-08-24
18,24235332,Assis Chateaubriand,Simepar,-53.5411,-24.3886,450.0,22.276555360395538,2.9834683753596587,1999-08-19,2021-08-24,1999-08-19,2021-08-24
19,24035222,Campo Mourão_antiga,Simepar,-52.38654,-24.08543,601.2,20.61775449781103,2.7144628191608327,1997-06-01,2017-02-08,1997-06-01,2017-02-08
20,24134940,Jaguariaiva,Simepar,-49.677,-24.2269,900.0,18.50635971542118,1.2999429659593582,2000-04-07,2021-08-24,2000-04-07,2021-08-24
21,24205037,Telêmaco Borba,Simepar,-50.6106,-24.339,768.0,19.08463783919019,1.5212685871545109,1997-06-01,2021-08-24,1997-06-01,2021-08-24
22,25385157,Pinhão,Simepar,-51.9625,-25.64944,910.0,18.84147996732967,2.563836322161883,2003-04-08,2021-08-24,2003-04-08,2021-08-24
23,23255010,Santo Antônio da Platina,Simepar,-50.10379,-23.2558,661.0,21.36447632058287,4.280496357012749,2019-02-07,2021-08-24,2019-02-07,2021-08-24
24,22434707,Replan,Simepar,-47.1,-22.73,608.28,22.523162568306013,1.9144098360655737,2016-08-25,2021-08-24,2016-08-25,2021-08-24
25,25134848,Antonina,Simepar,-48.75248,-25.24341,60.0,21.173742146287243,0.520245726535284,1999-01-01,2021-08-24,1999-01-01,2021-08-24
26,24475343,Toledo,Simepar,-53.7196,-24.7834,516.4,21.249339717740472,2.407153330525498,1997-08-10,2021-08-24,1997-08-10,2021-08-24
27,25215130,Guarapuava,Simepar,-51.4935,-25.3845,1070.0,17.695961674838202,2.9273039239508405,1997-06-01,2021-08-24,1997-06-01,2021-08-24
28,24185355,Palotina,Simepar,-53.9008,-24.3129,303.0,21.85911450067316,1.9412456086164573,1997-06-01,2021-08-24,1997-06-01,2021-08-24
29,25245437,Foz do Iguaçu,Simepar,-54.6167,-25.4059,232.0,22.252703983318938,1.6321418128654979,1997-07-19,2017-05-09,1997-07-19,2017-05-09
30,25335129,Entre Rios,Simepar,-51.4884,-25.5459,1095.0,16.935117972526943,3.589113833079969,2001-01-18,2021-08-24,2001-01-18,2021-08-24
31,23445317,Umuarama,Simepar,-53.30766,-23.75066,480.0,22.722831609034028,2.673547803948252,1997-06-01,2021-08-24,1997-06-01,2021-08-24
32,25474946,Lapa,Simepar,-49.7598,-25.7817,909.8,17.48455949948521,2.386919268234735,1997-06-01,2021-08-24,1997-06-01,2021-08-24
33,23185109,Londrina,Simepar,-51.1647,-23.3595,585.0,21.489261950582083,2.3412007226577973,1997-06-01,2021-08-24,1997-06-01,2021-08-24
34,23275159,Maringá,Simepar,-51.9881,-23.4483,570.0,22.56410517711478,2.6156080533468273,1999-03-01,2021-08-24,1999-03-01,2021-08-24
