,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude
1,25254905,Pinhais,Simepar,-49.1299,-25.3907,930.0
2,25324915,Colombo,Inmet,-49.15773,-25.32246,950.0
3,255449368,Araucaria_Escola_Municipal,Cemaden,-49.3813,-25.5433,897.0
4,25424938,Ponte_BR_277_Campo_Largo,AguasParana,-49.38794,-25.42697,
5,25414936,Curitiba_Butiatuvinha,Cemaden,-49.36184,-25.41118,
6,25514914,Fazendinha,AguasParana,-49.14685,-25.5192,906.0
7,25454910,Piraquara_Jd_Sta_Monica,Cemaden,-49.101,-25.45,
8,25454912,Ponte_PR_415,AguasParana,-49.12135,-25.45058,
9,25364911,Campina_Grande_do_Sul,Cemaden,-49.109,-25.356,
10,25264916,Curitiba,Simepar,-49.23033,-25.44817,935.0
