,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,t_med_medio,t_max_med,t_min_med,v_vento_medio,v_rajada_max,ini_serie,fim_serie
0,23855385,Altônia,Simepar,-53.85237,-23.85808,368.0,23.39961976320582,38.5,3.0749999999999997,2.656852459016395,24.275,2017-08-04,2021-08-31
1,24555296,Ubiratã,Simepar,-52.96648,-24.5545,529.0,21.869061930783246,37.8,1.15,3.256376593806922,26.025,2017-08-16,2021-08-31
2,25345331,N.Prata do Iguaçu,Simepar,-53.5166,-25.5666,546.3,20.403729356405574,36.63333333333334,0.36666666666666675,3.9562896174863424,28.444444444444443,1997-06-01,2007-04-03
3,25554836,Techint,Simepar,-48.36707,-25.55347,30.0,21.30753881278539,35.150000000000006,3.35,2.8410958904109584,21.85,2016-11-17,2019-01-07
4,24075240,Campo Mourão,Simepar,-52.40387,-24.07305,601.0,20.344722677595637,36.599999999999994,-0.8800000000000001,2.526062841530053,22.060000000000002,2017-02-09,2021-08-31
5,25174828,Reserva Natural Salto Morato,Simepar,-48.2881,-25.1779,32.0,21.224237677319657,41.64545454545454,-0.5181818181818182,0.3122234917480818,17.581818181818182,2011-03-24,2021-08-31
6,25425241,Laranjeiras do Sul,Simepar,-52.41211,-25.42767,838.0,19.546942167577413,34.2,-0.475,3.0748884335154822,27.0,2017-11-06,2021-08-31
7,25264916,Curitiba,Simepar,-49.23033,-25.44817,935.0,17.862470753148024,34.432,0.41199999999999987,2.0851923477468914,20.827999999999996,1997-06-01,2021-08-31
8,25505367,Baixo Iguaçu,Simepar,-53.67738,-25.50895,274.0,21.73901775956284,40.675,-0.14999999999999997,1.6963360655737718,24.599999999999998,2017-07-24,2021-08-31
9,22915315,Loanda,Simepar,-53.15146,-22.91718,491.0,23.94014071038252,40.3,3.475,2.9516256830601115,24.549999999999997,2017-07-19,2021-08-31
10,23605062,Cornélio Procópio,Simepar,-50.62793,-23.20645,647.0,21.648938979963585,37.36666666666667,2.6,3.035346083788708,21.46666666666667,2018-08-16,2021-08-31
11,26585152,Palmas - Horizonte,Simepar,-51.52019,-26.5829,1344.0,15.491311475409823,31.6,-4.4,4.676270491803277,28.35,2019-11-20,2021-08-31
12,25315301,Salto Osorio,Simepar,-53.03087,-25.52213,514.0,20.758020079798754,37.88999999999999,0.08000000000000006,0.9604424825725514,19.235000000000003,1999-07-22,2019-12-15
13,25435458,Foz do Iguaçu - Itaipu,Simepar,-54.58286,-25.4361,168.0,21.479945355191248,38.779999999999994,-0.2000000000000001,1.875002732240436,23.380000000000003,2017-05-09,2021-08-31
14,23395232,Cianorte,Simepar,-52.5476,-23.6522,451.0,21.559957340018823,39.059999999999995,-0.23333333333333334,2.1489325196661264,24.16666666666667,2002-04-04,2016-09-14
15,26055139,Foz do Areia,Simepar,-51.6679,-26.0037,780.0,18.452275070350165,36.1125,-0.2125,2.6681415481050217,21.625,1997-06-01,2021-06-10
16,26145103,União da Vitória,Simepar,-51.06827,-26.22825,756.53,17.906374348618055,35.727999999999994,-1.7920000000000003,1.544132295873921,18.808000000000003,1997-06-01,2021-08-31
17,23695263,Cianorte Cocamar,Simepar,-52.63736,-23.69372,534.0,22.594129781420783,38.02,2.06,2.2031379781420743,22.860000000000003,2016-09-14,2021-08-31
18,24235332,Assis Chateaubriand,Simepar,-53.5411,-24.3886,450.0,22.276555360395538,39.25909090909091,0.7454545454545454,2.9834683753596587,25.13181818181818,1999-08-19,2021-08-31
19,24035222,Campo Mourão_antiga,Simepar,-52.38654,-24.08543,601.2,20.61775449781103,36.294999999999995,0.73,2.7144628191608327,22.12,1997-06-01,2017-02-08
20,24134940,Jaguariaiva,Simepar,-49.677,-24.2269,900.0,18.50635971542118,34.53181818181818,-0.1227272727272727,1.2999429659593582,17.21363636363636,2000-04-07,2021-08-31
21,24205037,Telêmaco Borba,Simepar,-50.6106,-24.339,768.0,19.08463783919019,36.547999999999995,-0.45199999999999996,1.5212685871545109,23.368,1997-06-01,2021-08-31
22,25385157,Pinhão,Simepar,-51.9625,-25.64944,910.0,18.84147996732967,41.242105263157896,-2.626315789473684,2.563836322161883,22.242105263157892,2003-04-08,2021-08-31
23,23255010,Santo Antônio da Platina,Simepar,-50.10379,-23.2558,661.0,21.36447632058287,36.8,2.0,4.280496357012749,22.233333333333334,2019-02-07,2021-08-31
24,22434707,Replan,Simepar,-47.1,-22.73,608.28,22.523162568306013,38.67999999999999,5.319999999999999,1.9144098360655737,20.84,2016-08-25,2021-08-31
25,25134848,Antonina,Simepar,-48.75248,-25.24341,60.0,21.173742146287243,40.92608695652174,0.46521739130434797,0.520245726535284,20.83478260869565,1999-01-01,2021-08-31
26,24475343,Toledo,Simepar,-53.7196,-24.7834,516.4,21.249339717740472,38.5125,-1.6958333333333337,2.407153330525498,21.512500000000003,1997-08-10,2021-08-31
27,25215130,Guarapuava,Simepar,-51.4935,-25.3845,1070.0,17.695961674838202,33.89166666666666,-2.8958333333333335,2.9273039239508405,21.95833333333333,1997-06-01,2021-08-31
28,24185355,Palotina,Simepar,-53.9008,-24.3129,303.0,21.85911450067316,39.3,-1.88,1.9412456086164571,23.752,1997-06-01,2021-08-31
29,25245437,Foz do Iguaçu,Simepar,-54.6167,-25.4059,232.0,22.252703983318938,38.32105263157896,1.2947368421052632,1.632141812865498,22.205263157894734,1997-07-19,2017-05-09
30,25335129,Entre Rios,Simepar,-51.4884,-25.5459,1095.0,16.935117972526943,33.419047619047625,-3.2238095238095235,3.589113833079969,26.46190476190477,2001-01-18,2021-08-31
31,23445317,Umuarama,Simepar,-53.30766,-23.75066,480.0,22.722831609034028,38.12800000000001,2.464,2.673547803948252,19.519999999999996,1997-06-01,2021-08-31
32,25474946,Lapa,Simepar,-49.7598,-25.7817,909.8,17.48455949948521,33.916000000000004,-2.052,2.386919268234735,21.244,1997-06-01,2021-08-31
33,23185109,Londrina,Simepar,-51.1647,-23.3595,585.0,21.489261950582083,37.044000000000004,2.0999999999999996,2.3412007226577973,22.156,1997-06-01,2021-08-31
34,23275159,Maringá,Simepar,-51.9881,-23.4483,570.0,22.56410517711478,37.834782608695654,1.6,2.6156080533468278,22.27391304347826,1999-03-01,2021-08-31
35,23055226,Paranavaí,Simepar,-52.4438,-23.0916,480.0,22.97737289260593,39.692,1.572,2.150011767532776,19.336000000000002,1997-06-01,2021-08-31
36,26075241,Pato Branco,Simepar,-52.6514,-26.1229,721.8,19.301985398892704,34.891304347826086,-1.8739130434782612,2.4367478611849083,20.643478260869564,1997-06-01,2021-08-31
37,24045415,Guaira,Simepar,-54.26151,-24.07487,227.9,21.96161107241337,38.90416666666666,1.2125000000000001,2.066343860018573,24.45833333333333,1997-08-10,2021-08-31
38,23005002,Cambará,Simepar,-50.0362,-23.0025,450.0,21.96695670838825,38.227999999999994,0.24,2.5090164132414645,24.536000000000005,1997-06-01,2021-08-31
39,23515154,Apucarana,Simepar,-51.5302,-23.5175,746.0,20.736575234970196,37.540909090909096,2.0772727272727276,3.727764134317416,24.345454545454547,1999-10-01,2021-08-31
40,26055305,Francisco Beltrão,Simepar,-53.06548,-26.0593,652.0,19.448418695148224,37.96363636363636,-1.6,2.131865126676604,23.045454545454547,2010-09-02,2021-08-31
41,25324831,Guaratuba,Simepar,-48.58049,-25.84536,0.0,21.213091911529503,36.425000000000004,6.554166666666666,1.922889417415165,20.8625,1997-06-01,2021-08-31
42,26285158,Palmas,Simepar,-51.9762,-26.4682,1100.0,16.73952046002769,33.34782608695652,-3.3782608695652177,2.700673783065352,21.213043478260868,1998-04-29,2021-08-31
43,25444869,APPA Antonina,Simepar,-48.69434,-25.44716,2.0,21.51349336455893,39.8,1.0857142857142856,1.626162503252668,19.97142857142857,2014-09-26,2021-08-31
44,24385115,Cândido de Abreu,Simepar,-51.2452,-24.6321,645.0,20.146618714587056,36.93600000000001,-0.16399999999999992,1.3723596778548146,20.543999999999997,1997-06-01,2021-08-31
45,24535333,Cascavel,Simepar,-53.5547,-24.8845,719.3,20.377975973383155,36.9,-0.6749999999999998,4.022137960323118,25.925,1997-06-01,2021-08-31
46,25135001,Ponta Grossa,Simepar,-50.1524,-25.0137,888.25,18.270424213985898,35.832,-1.0240000000000002,3.210167284390592,23.336,1997-06-01,2021-08-31
47,25115408,São Miguel do Iguaçu,Simepar,-54.2546,-25.3528,298.0,22.354183376659357,38.58695652173913,0.2521739130434783,2.664968012730915,23.356521739130432,1997-06-01,2021-08-31
48,25254905,Pinhais,Simepar,-49.1299,-25.3907,930.0,17.190057875620074,35.643478260869564,-1.156521739130435,1.832928478476856,18.1304347826087,1998-07-10,2021-08-31
49,25534852,Paranaguá,Simepar,-48.5296,-25.5378,19.0,21.652710718622608,40.666666666666664,0.0,1.916692633793044,23.766666666666666,2012-11-21,2021-08-31
50,25315329,Salto Caxias,Simepar,-53.49412,-25.52092,440.0,21.232158099167016,37.53478260869566,0.10869565217391303,2.2180882753304343,21.856521739130436,1999-03-01,2021-08-31
51,24535213,Palmital,Simepar,-52.2186,-24.8644,783.0,20.4109807209659,36.488,0.348,2.524191806518501,25.33999999999999,1997-06-01,2021-08-31
52,24494915,Cerro Azul,Simepar,-49.2604,-24.8267,366.0,20.136583568939585,39.215999999999994,1.3840000000000001,1.012334253979567,23.451999999999998,1997-06-01,2021-08-31
53,24505420,Santa Helena,Simepar,-54.3103,-24.9168,271.0,22.27485962421793,39.12083333333333,0.9124999999999998,2.580274669359309,22.520833333333332,1997-07-21,2021-08-31
54,25275035,Fernandes Pinheiro,Simepar,-50.5839,-25.4532,893.0,17.939233465908444,35.00434782608695,-1.0130434782608695,1.2579536943613925,15.965217391304343,1999-03-01,2021-08-31
55,15575438,Primavera do Leste,Inmet,-54.38111,-15.58,680.0,23.60519920318727,35.2,10.2,2.499382470119523,18.1,2018-12-31,2020-07-31
56,9366993,Parque Estadual Chandless,Inmet,-69.92626,-9.35835,184.51,25.047308905802748,37.38571428571428,10.728571428571428,0.6291830926359617,18.771428571428572,2012-10-11,2021-09-01
57,22234996,Marília,Inmet,-49.96511,-22.23522,660.0,22.847168488160293,36.82000000000001,4.4,1.8950122950819677,18.725,2017-05-24,2021-09-01
58,22934340,Rio de Janeiro-Jacarepaguá,Inmet,-43.4029,-22.93988,20.0,23.15743897996357,39.45,10.450000000000001,0.7945938069216751,21.275000000000002,2017-08-10,2021-08-31
59,22974430,Angra dos Reis,Inmet,-44.30344,-22.97569,6.0,23.26634790528234,38.3,11.85,0.7551958105646631,23.35,2017-08-25,2020-04-24
60,22374470,Itatiaia - Parque Nacional,Inmet,-44.70311,-22.37394,2.45,10.399168943533686,30.95,-7.975,2.7730714936247693,25.7,2017-09-01,2021-09-01
61,15594813,Brazlandia,Inmet,-48.13111,-15.59972,1143.0,20.954299065420557,32.1,10.5,2.1759813084112145,25.1,2019-12-31,2020-07-31
62,12825033,São Miguel do Araguaia,Inmet,-50.33597,-12.82049,183.0,29.947688679245264,36.7,16.0,2.526273584905659,13.3,2020-01-01,2020-07-31
63,1685047,Breves,Inmet,-50.47814,-1.68025,1.03,26.43824681238618,35.0,21.05,0.9596675774134792,29.5,2017-08-01,2020-04-20
64,17334991,Edeia,Inmet,-49.91472,-17.33694,608.0,24.51757009345793,36.2,9.4,1.9060280373831773,17.8,2019-12-31,2020-07-31
65,4284756,Dom Eliseu,Inmet,-47.56397,-4.28056,252.0,25.9786589253188,37.349999999999994,18.15,1.8112727686703087,32.65,2018-03-08,2021-09-01
66,7454602,Balsas,Inmet,-46.02755,-7.45561,271.03,26.747428560586343,39.65,14.15,1.217233151183971,19.6125,2011-12-15,2020-05-23
67,10424517,Corrente,Inmet,-45.17304,-10.42917,452.0,26.475992714025526,38.53333333333333,11.933333333333332,1.5726821493624776,16.733333333333334,2018-03-27,2020-09-26
68,7334745,Carolina,Inmet,-47.45984,-7.33727,182.88,27.37346319064964,40.32,17.259999999999998,1.0493700667881,19.990000000000002,2011-12-15,2021-08-31
69,3744335,Chapadinha,Inmet,-43.35208,-3.74267,104.0,27.72507996140167,38.9,20.414285714285715,1.900719598404024,20.414285714285715,2011-12-15,2020-04-09
70,15804329,Janauba,Inmet,-43.29694,-15.80278,532.0,25.96844945355188,38.75,9.8,2.3999037487335384,19.25,2016-11-18,2020-12-31
71,3275239,Altamira,Inmet,-52.39472,-3.27028,191.0,25.27433333333333,,,0.8546666666666668,,2019-12-31,2020-02-28
72,20034600,Bambui,Inmet,-46.00889,-20.03111,697.0,21.324788251366137,35.800000000000004,3.033333333333333,1.3144653916211295,20.5,2016-11-22,2020-12-31
73,20355143,Selviria,Inmet,-51.43022,-20.35144,374.0,25.33685792349726,40.4,4.1,2.41189393939394,24.2,2018-12-31,2020-04-08
74,4864214,Campo Maior,Inmet,-42.14555,-4.86418,125.0,28.104904371584684,40.5,18.5,1.651024590163933,22.3,2018-11-22,2020-07-09
75,20714486,Oliveira,Inmet,-44.86456,-20.71492,1025.0,20.420054644808744,32.975,5.05,2.6187887596899224,25.15,2017-11-27,2021-08-31
76,7313814,Itaporanga,Inmet,-38.14084,-7.31846,292.0,27.474251141552525,39.15,12.5,2.098447488584473,19.799999999999997,2017-11-02,2020-04-10
77,6656986,Eirunepé,Inmet,-69.86861,-6.6503,121.54,25.53626183970857,35.56666666666667,16.366666666666664,0.7558319672131147,22.2,2012-08-30,2020-05-01
78,4324644,Buriticupu,Inmet,-46.4495,-4.3206,174.91,26.806396153178927,39.587500000000006,16.675,2.287734300459708,29.975,2011-12-15,2020-04-25
79,8053909,Salgueiro,Inmet,-39.09611,-8.05806,447.0,28.190628019323672,,,2.314830917874396,,2019-12-31,2020-07-31
80,21684594,Machado,Inmet,-45.94439,-21.68072,969.0,20.633636156648468,32.6,6.466666666666666,1.5965778688524608,37.800000000000004,2017-12-31,2020-12-31
81,9623776,Piranhas,Inmet,-37.76711,-9.62226,187.0,27.72897196261681,40.3,17.2,2.3224766355140187,17.1,2019-12-31,2020-07-31
82,19714796,Uberaba,Inmet,-47.96189,-19.71003,778.0,22.59690346083788,35.800000000000004,4.433333333333334,2.3173861566484493,23.866666666666664,2017-12-31,2020-12-31
83,21305282,Santa Rita do Pardo,Inmet,-52.82038,-21.30589,383.0,25.199439890710376,40.099999999999994,1.8,2.83222677595628,26.5,2018-12-31,2020-07-31
84,3075957,Manaus,Inmet,-60.01546,-3.10368,48.79,27.848308385376,37.275000000000006,21.050000000000004,1.450248243559719,24.95714285714286,2011-10-23,2020-07-31
85,1244826,Belém,Inmet,-48.43951,-1.41123,21.17,26.83693976060369,35.94285714285714,21.328571428571426,0.7728013270882118,15.485714285714286,2011-10-23,2020-07-31
86,5533687,Ipanguacu,Inmet,-36.87231,-5.53487,19.0,27.65130841121495,38.3,16.5,1.483177570093457,17.0,2019-12-31,2020-07-31
87,20174487,Divinópolis,Inmet,-44.87494,-20.17328,796.0,21.905075136612027,37.449999999999996,4.575,2.069965846994536,21.675,2017-10-24,2021-09-01
88,8543629,Garanhuns,Inmet,-36.49338,-8.91095,827.78,21.482459699453543,34.050000000000004,14.579999999999998,2.011574377656344,15.35,2011-10-24,2021-08-21
89,9453726,Pão de Açucar,Inmet,-37.43077,-9.74922,20.83,27.43116380431956,40.85555555555556,16.688888888888886,1.8109579104865996,17.01111111111111,2000-01-01,2020-09-14
90,6014016,Tauá,Inmet,-40.28132,-6.01747,410.87,27.579160595021264,37.95555555555555,17.38888888888889,2.4544087735276268,20.53333333333333,2011-10-24,2020-08-24
91,5103917,Quixeramobim,Inmet,-39.28939,-5.17457,221.04,27.878082877959915,37.85,18.575,1.9346245337843688,19.912499999999998,2011-10-24,2020-03-29
92,9054419,Bom Jesus do Piauí,Inmet,-44.32647,-9.08325,296.0,27.906326112412188,40.94444444444444,15.200000000000001,1.0705648798681586,21.83333333333333,2011-10-24,2020-10-20
93,9253637,Palmeira dos Índios,Inmet,-36.62037,-9.42033,278.01,25.101257741347908,38.449999999999996,16.5,2.30114245598057,16.720000000000002,2011-10-29,2021-09-01
94,8303918,Cabrobó,Inmet,-39.31528,-8.504,342.74,27.44998808439585,39.88,16.89,2.636889799635702,20.020000000000003,2011-10-23,2021-09-01
95,8074108,Paulistana,Inmet,-41.14295,-8.13229,376.0,28.348302823315105,39.46,19.16,3.296593123861566,20.160000000000004,2011-10-23,2021-09-01
96,8214215,São João do Piauí,Inmet,-42.25037,-8.36498,236.99,28.856199421025263,40.775,18.162499999999998,2.0584368223610032,18.012500000000003,2011-10-23,2020-05-22
97,5083821,Morada Nova,Inmet,-38.35659,-5.13669,45.03,28.14429493017609,38.81,17.87,2.52861839708561,19.17,2011-10-24,2021-09-01
98,7533707,Monteiro,Inmet,-37.1247,-7.89447,606.39,25.147873330297514,36.25555555555556,13.788888888888888,3.1213198998178533,19.711111111111112,2011-10-26,2021-07-30
99,4164147,Piripiri,Inmet,-41.79457,-4.27605,157.89,28.334642716193944,41.45,19.34,1.8062249761471056,20.525,2011-10-23,2021-09-01
100,5663779,Apodi,Inmet,-37.81499,-5.62656,131.41,28.229867941712204,38.78,19.63,2.6630301522248248,19.309999999999995,2011-10-31,2021-09-01
101,13013831,Salvador,Inmet,-38.50576,-13.00552,47.56,25.76320962355796,34.62,19.779999999999998,1.5302122040072863,27.129999999999995,2011-10-10,2021-09-01
102,12094501,Barreiras,Inmet,-45.02705,-12.12472,474.17,25.913633196721293,39.67777777777778,12.200000000000001,1.471516317547056,21.388888888888886,2011-10-23,2021-05-23
103,12094549,Luis Eduardo Magalhaes,Inmet,-45.82975,-12.15239,760.68,23.91278515049007,37.211111111111116,10.766666666666666,2.649131646283285,20.977777777777774,2011-10-23,2020-10-01
104,17443915,Caravelas,Inmet,-39.25862,-17.73941,6.05,24.769164931910847,35.5625,15.837500000000002,2.6182016003122586,18.4625,2011-10-23,2020-05-03
105,24534786,Registro,Inmet,-47.86414,-24.53314,35.0,23.741977168949788,38.5,3.95,2.171374501992032,,2018-12-31,2021-09-01
106,8734986,Santa Maria Das Barreiras,Inmet,-49.86,-8.73,165.0,26.46206349206348,38.9,16.2,1.81063492063492,22.8,2020-12-17,2021-09-01
107,8045000,Redenção,Inmet,-50.00694,-8.04333,199.0,26.64186915887849,36.0,17.2,1.3945327102803735,16.1,2019-12-31,2020-07-31
108,10673747,Ipanguacu,Inmet,-37.47139,-10.67167,213.0,26.982708333333324,,,3.033749999999999,,2019-12-31,2020-04-04
