,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,ini_temp,fim_temp,ini_vento,fim_vento
5,25174828,Reserva Natural Salto Morato,Simepar,-48.2881,-25.1779,32.0,2011-03-24,2021-08-24,2011-03-24,2021-08-24
7,25264916,Curitiba,Simepar,-49.23033,-25.44817,935.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
16,26145103,União da Vitória,Simepar,-51.06827,-26.22825,756.53,1997-06-01,2021-08-24,1997-06-01,2021-08-24
18,24235332,Assis Chateaubriand,Simepar,-53.5411,-24.3886,450.0,1999-08-19,2021-08-24,1999-08-19,2021-08-24
20,24134940,Jaguariaiva,Simepar,-49.677,-24.2269,900.0,2000-04-07,2021-08-24,2000-04-07,2021-08-24
21,24205037,Telêmaco Borba,Simepar,-50.6106,-24.339,768.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
22,25385157,Pinhão,Simepar,-51.9625,-25.64944,910.0,2003-04-08,2021-08-24,2003-04-08,2021-08-24
25,25134848,Antonina,Simepar,-48.75248,-25.24341,60.0,1999-01-01,2021-08-24,1999-01-01,2021-08-24
26,24475343,Toledo,Simepar,-53.7196,-24.7834,516.4,1997-08-10,2021-08-24,1997-08-10,2021-08-24
27,25215130,Guarapuava,Simepar,-51.4935,-25.3845,1070.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
28,24185355,Palotina,Simepar,-53.9008,-24.3129,303.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
30,25335129,Entre Rios,Simepar,-51.4884,-25.5459,1095.0,2001-01-18,2021-08-24,2001-01-18,2021-08-24
31,23445317,Umuarama,Simepar,-53.30766,-23.75066,480.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
32,25474946,Lapa,Simepar,-49.7598,-25.7817,909.8,1997-06-01,2021-08-24,1997-06-01,2021-08-24
33,23185109,Londrina,Simepar,-51.1647,-23.3595,585.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
34,23275159,Maringá,Simepar,-51.9881,-23.4483,570.0,1999-03-01,2021-08-24,1999-03-01,2021-08-24
35,23055226,Paranavaí,Simepar,-52.4438,-23.0916,480.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
36,26075241,Pato Branco,Simepar,-52.6514,-26.1229,721.8,1997-06-01,2021-08-24,1997-06-01,2021-08-24
37,24045415,Guaira,Simepar,-54.26151,-24.07487,227.9,1997-08-10,2021-08-24,1997-08-10,2021-08-24
38,23005002,Cambará,Simepar,-50.0362,-23.0025,450.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
39,23515154,Apucarana,Simepar,-51.5302,-23.5175,746.0,1999-10-01,2021-08-24,1999-10-01,2021-08-24
40,26055305,Francisco Beltrão,Simepar,-53.06548,-26.0593,652.0,2010-09-02,2021-08-24,2010-09-02,2021-08-24
41,25324831,Guaratuba,Simepar,-48.58049,-25.84536,0.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
42,26285158,Palmas,Simepar,-51.9762,-26.4682,1100.0,1998-04-29,2021-08-24,1998-04-29,2021-08-24
43,25444869,APPA Antonina,Simepar,-48.69434,-25.44716,2.0,2014-09-26,2021-08-24,2014-09-26,2021-08-24
44,24385115,Cândido de Abreu,Simepar,-51.2452,-24.6321,645.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
45,24535333,Cascavel,Simepar,-53.5547,-24.8845,719.3,1997-06-01,2021-08-24,1997-06-01,2021-08-24
46,25135001,Ponta Grossa,Simepar,-50.1524,-25.0137,888.25,1997-06-01,2021-08-24,1997-06-01,2021-08-24
47,25115408,São Miguel do Iguaçu,Simepar,-54.2546,-25.3528,298.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
48,25254905,Pinhais,Simepar,-49.1299,-25.3907,930.0,1998-07-10,2021-08-24,1998-07-10,2021-08-24
49,25534852,Paranaguá,Simepar,-48.5296,-25.5378,19.0,2012-11-21,2021-08-24,2012-11-21,2021-08-24
50,25315329,Salto Caxias,Simepar,-53.49412,-25.52092,440.0,1999-03-01,2021-08-24,1999-03-01,2021-08-24
51,24535213,Palmital,Simepar,-52.2186,-24.8644,783.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
52,24494915,Cerro Azul,Simepar,-49.2604,-24.8267,366.0,1997-06-01,2021-08-24,1997-06-01,2021-08-24
53,24505420,Santa Helena,Simepar,-54.3103,-24.9168,271.0,1997-07-21,2021-08-24,1997-07-21,2021-08-24
54,25275035,Fernandes Pinheiro,Simepar,-50.5839,-25.4532,893.0,1999-03-01,2021-08-24,1999-03-01,2021-08-24
56,9366993,Parque Estadual Chandless,Inmet,-69.92626,-9.35835,184.51,2012-10-12,2021-08-25,2012-10-11,2021-08-25
68,7334745,Carolina,Inmet,-47.45984,-7.33727,182.88,2011-12-15,2021-08-25,2011-12-15,2021-08-25
88,8543629,Garanhuns,Inmet,-36.49338,-8.91095,827.78,2011-10-24,2021-08-21,2011-10-24,2021-08-21
93,9253637,Palmeira dos Índios,Inmet,-36.62037,-9.42033,278.01,2011-10-29,2021-08-25,2011-10-29,2021-08-25
94,8303918,Cabrobó,Inmet,-39.31528,-8.504,342.74,2011-10-23,2021-08-25,2011-10-23,2021-08-25
95,8074108,Paulistana,Inmet,-41.14295,-8.13229,376.0,2011-10-23,2021-08-25,2011-10-23,2021-08-25
97,5083821,Morada Nova,Inmet,-38.35659,-5.13669,45.03,2011-10-24,2021-08-25,2011-10-24,2021-08-25
98,7533707,Monteiro,Inmet,-37.1247,-7.89447,606.39,2011-10-26,2021-07-30,2011-10-26,2021-07-30
99,4164147,Piripiri,Inmet,-41.79457,-4.27605,157.89,2011-10-23,2021-08-25,2011-10-23,2021-08-25
100,5663779,Apodi,Inmet,-37.81499,-5.62656,131.41,2011-10-31,2021-08-25,2011-10-31,2021-08-25
101,13013831,Salvador,Inmet,-38.50576,-13.00552,47.56,2011-10-10,2021-08-25,2011-10-10,2021-08-25
109,20334345,Ouro Branco,Inmet,-43.75622,-20.55659,1048.2,2006-07-28,2021-08-25,2006-07-28,2021-08-25
110,21064415,São João del Rei,Inmet,-44.25093,-21.1065,929.88,2006-12-04,2021-08-25,2006-12-04,2021-08-25
117,15474755,Brasília,Inmet,-47.92576,-15.78934,1160.96,2007-06-12,2021-08-25,2007-06-12,2021-08-25
118,16384913,Goiânia,Inmet,-49.22022,-16.64284,727.3,2007-06-12,2021-08-25,2007-06-12,2021-08-25
119,5184067,Crateús,Inmet,-40.67213,-5.18664,298.19,2011-10-31,2021-08-25,2011-11-02,2021-08-25
