idGrade,x,y
1,-61.0,6.0
2,-60.5,6.0
3,-60.0,6.0
4,-59.5,6.0
5,-61.5,5.5
6,-61.0,5.5
7,-60.5,5.5
8,-60.0,5.5
9,-59.5,5.5
10,-65.0,5.0
11,-64.5,5.0
12,-64.0,5.0
13,-63.0,5.0
14,-62.5,5.0
15,-62.0,5.0
16,-61.5,5.0
17,-61.0,5.0
18,-60.5,5.0
19,-60.0,5.0
20,-59.5,5.0
21,-59.0,5.0
22,-52.0,5.0
23,-51.5,5.0
24,-51.0,5.0
25,-65.5,4.5
26,-65.0,4.5
27,-64.5,4.5
28,-64.0,4.5
29,-63.5,4.5
30,-63.0,4.5
31,-62.5,4.5
32,-62.0,4.5
33,-61.5,4.5
34,-61.0,4.5
35,-60.5,4.5
36,-60.0,4.5
37,-59.5,4.5
38,-59.0,4.5
39,-52.5,4.5
40,-52.0,4.5
41,-51.5,4.5
42,-51.0,4.5
43,-50.5,4.5
44,-65.5,4.0
45,-65.0,4.0
46,-64.5,4.0
47,-64.0,4.0
48,-63.5,4.0
49,-63.0,4.0
50,-62.5,4.0
51,-62.0,4.0
52,-61.5,4.0
53,-61.0,4.0
54,-60.5,4.0
55,-60.0,4.0
56,-59.5,4.0
57,-59.0,4.0
58,-52.5,4.0
59,-52.0,4.0
60,-51.5,4.0
61,-51.0,4.0
62,-50.5,4.0
63,-65.5,3.5
64,-65.0,3.5
65,-64.5,3.5
66,-64.0,3.5
67,-63.5,3.5
68,-63.0,3.5
69,-62.5,3.5
70,-62.0,3.5
71,-61.5,3.5
72,-61.0,3.5
73,-60.5,3.5
74,-60.0,3.5
75,-59.5,3.5
76,-59.0,3.5
77,-56.0,3.5
78,-55.5,3.5
79,-55.0,3.5
80,-54.5,3.5
81,-53.0,3.5
82,-52.5,3.5
83,-52.0,3.5
84,-51.5,3.5
85,-51.0,3.5
86,-50.5,3.5
87,-68.0,3.0
88,-67.5,3.0
89,-67.0,3.0
90,-65.0,3.0
91,-64.5,3.0
92,-64.0,3.0
93,-63.5,3.0
94,-63.0,3.0
95,-62.5,3.0
96,-62.0,3.0
97,-61.5,3.0
98,-61.0,3.0
99,-60.5,3.0
100,-60.0,3.0
101,-59.5,3.0
102,-59.0,3.0
103,-57.0,3.0
104,-56.5,3.0
105,-56.0,3.0
106,-55.5,3.0
107,-55.0,3.0
108,-54.5,3.0
109,-54.0,3.0
110,-53.5,3.0
111,-53.0,3.0
112,-52.5,3.0
113,-52.0,3.0
114,-51.5,3.0
115,-51.0,3.0
116,-50.5,3.0
117,-50.0,3.0
118,-70.0,2.5
119,-69.5,2.5
120,-69.0,2.5
121,-68.5,2.5
122,-68.0,2.5
123,-67.5,2.5
124,-67.0,2.5
125,-66.5,2.5
126,-65.0,2.5
127,-64.5,2.5
128,-64.0,2.5
129,-63.5,2.5
130,-63.0,2.5
131,-62.5,2.5
132,-62.0,2.5
133,-61.5,2.5
134,-61.0,2.5
135,-60.5,2.5
136,-60.0,2.5
137,-59.5,2.5
138,-59.0,2.5
139,-58.5,2.5
140,-58.0,2.5
141,-57.5,2.5
142,-57.0,2.5
143,-56.5,2.5
144,-56.0,2.5
145,-55.5,2.5
146,-55.0,2.5
147,-54.5,2.5
148,-54.0,2.5
149,-53.5,2.5
150,-53.0,2.5
151,-52.5,2.5
152,-52.0,2.5
153,-51.5,2.5
154,-51.0,2.5
155,-50.5,2.5
156,-50.0,2.5
157,-49.5,2.5
158,-70.5,2.0
159,-70.0,2.0
160,-69.5,2.0
161,-69.0,2.0
162,-68.5,2.0
163,-68.0,2.0
164,-67.5,2.0
165,-67.0,2.0
166,-66.5,2.0
167,-65.5,2.0
168,-65.0,2.0
169,-64.5,2.0
170,-64.0,2.0
171,-63.5,2.0
172,-63.0,2.0
173,-62.5,2.0
174,-62.0,2.0
175,-61.5,2.0
176,-61.0,2.0
177,-60.5,2.0
178,-60.0,2.0
179,-59.5,2.0
180,-59.0,2.0
181,-58.5,2.0
182,-58.0,2.0
183,-57.5,2.0
184,-57.0,2.0
185,-56.5,2.0
186,-56.0,2.0
187,-55.5,2.0
188,-55.0,2.0
189,-54.5,2.0
190,-54.0,2.0
191,-53.5,2.0
192,-53.0,2.0
193,-52.5,2.0
