idGrade,x,y,t_med_medio,v_vento_medio
1,-61.0,6.0,27.798,1.891
2,-60.5,6.0,27.798,1.891
3,-60.0,6.0,27.798,1.891
4,-59.5,6.0,27.798,1.891
5,-61.5,5.5,27.587,1.712
6,-61.0,5.5,27.606,1.728
7,-60.5,5.5,27.615,1.736
8,-60.0,5.5,27.614,1.735
9,-59.5,5.5,27.798,1.891
10,-65.0,5.0,26.831,1.236
11,-64.5,5.0,26.927,1.295
12,-64.0,5.0,27.03,1.36
13,-63.0,5.0,27.243,1.499
14,-62.5,5.0,27.341,1.566
15,-62.0,5.0,27.589,1.713
16,-61.5,5.0,27.623,1.743
17,-61.0,5.0,27.559,1.675
18,-60.5,5.0,27.567,1.681
19,-60.0,5.0,27.556,1.671
20,-59.5,5.0,27.531,1.647
21,-59.0,5.0,27.495,1.614
22,-52.0,5.0,26.842,1.756
23,-51.5,5.0,26.918,1.679
24,-51.0,5.0,26.907,1.624
25,-65.5,4.5,26.703,1.16
26,-65.0,4.5,26.797,1.215
27,-64.5,4.5,26.904,1.279
28,-64.0,4.5,27.021,1.352
29,-63.5,4.5,27.144,1.432
30,-63.0,4.5,27.267,1.514
31,-62.5,4.5,27.314,1.516
32,-62.0,4.5,27.418,1.592
33,-61.5,4.5,27.589,1.703
34,-61.0,4.5,27.621,1.731
35,-60.5,4.5,27.558,1.689
36,-60.0,4.5,27.532,1.668
37,-59.5,4.5,27.481,1.626
38,-59.0,4.5,27.42,1.507
39,-52.5,4.5,26.883,1.64
40,-52.0,4.5,26.996,1.749
41,-51.5,4.5,26.999,1.741
42,-51.0,4.5,27.005,1.723
43,-50.5,4.5,26.913,1.657
44,-65.5,4.0,26.65,1.128
45,-65.0,4.0,26.752,1.185
46,-64.5,4.0,26.868,1.254
47,-64.0,4.0,26.998,1.335
48,-63.5,4.0,27.078,1.348
49,-63.0,4.0,27.215,1.444
50,-62.5,4.0,27.353,1.545
51,-62.0,4.0,27.415,1.596
52,-61.5,4.0,27.528,1.682
53,-61.0,4.0,27.645,1.75
54,-60.5,4.0,27.649,1.732
55,-60.0,4.0,27.615,1.694
56,-59.5,4.0,27.512,1.526
57,-59.0,4.0,27.417,1.387
58,-52.5,4.0,26.922,1.624
59,-52.0,4.0,26.925,1.63
60,-51.5,4.0,26.955,1.648
61,-51.0,4.0,26.92,1.696
62,-50.5,4.0,26.928,1.689
63,-65.5,3.5,26.585,1.089
64,-65.0,3.5,26.693,1.148
65,-64.5,3.5,26.789,1.159
66,-64.0,3.5,26.915,1.237
67,-63.5,3.5,27.056,1.33
68,-63.0,3.5,27.136,1.389
69,-62.5,3.5,27.328,1.497
70,-62.0,3.5,27.478,1.619
71,-61.5,3.5,27.612,1.714
72,-61.0,3.5,27.694,1.786
73,-60.5,3.5,27.719,1.794
74,-60.0,3.5,27.637,1.677
75,-59.5,3.5,27.502,1.501
