idGrade,x,y,t_med_medio,v_vento_medio
1,-60.5,5.0,27.567,1.681
2,-60.0,5.0,27.556,1.671
3,-61.0,4.5,27.621,1.731
4,-60.5,4.5,27.558,1.689
5,-64.5,4.0,26.868,1.254
6,-62.5,4.0,27.353,1.545
7,-62.0,4.0,27.415,1.596
8,-61.5,4.0,27.528,1.682
9,-61.0,4.0,27.645,1.75
10,-60.5,4.0,27.649,1.732
11,-60.0,4.0,27.615,1.694
12,-51.5,4.0,26.955,1.648
13,-64.0,3.5,26.915,1.237
14,-63.5,3.5,27.056,1.33
15,-63.0,3.5,27.136,1.389
16,-62.5,3.5,27.328,1.497
17,-62.0,3.5,27.478,1.619
18,-61.5,3.5,27.612,1.714
19,-61.0,3.5,27.694,1.786
20,-60.5,3.5,27.719,1.794
21,-60.0,3.5,27.637,1.677
22,-52.0,3.5,26.795,1.534
23,-51.5,3.5,26.777,1.556
24,-64.0,3.0,26.851,1.167
25,-63.5,3.0,27.022,1.258
26,-63.0,3.0,27.151,1.353
27,-62.5,3.0,27.305,1.474
28,-62.0,3.0,27.466,1.551
29,-61.5,3.0,27.645,1.729
30,-61.0,3.0,27.766,1.853
31,-60.5,3.0,27.779,1.867
32,-60.0,3.0,27.676,1.734
33,-52.0,3.0,26.762,1.536
34,-51.5,3.0,26.771,1.521
35,-51.0,3.0,26.787,1.514
36,-64.0,2.5,26.861,1.144
37,-63.5,2.5,26.967,1.212
38,-63.0,2.5,27.092,1.302
39,-62.5,2.5,27.248,1.346
40,-62.0,2.5,27.416,1.502
41,-61.5,2.5,27.584,1.656
42,-61.0,2.5,27.729,1.811
43,-60.5,2.5,27.749,1.833
44,-60.0,2.5,27.642,1.691
45,-55.0,2.5,26.816,1.179
46,-52.5,2.5,26.757,1.468
47,-52.0,2.5,26.748,1.491
48,-51.5,2.5,26.741,1.515
49,-51.0,2.5,26.765,1.534
50,-67.5,2.0,26.106,0.86
51,-63.5,2.0,26.915,1.105
52,-63.0,2.0,27.034,1.159
53,-62.5,2.0,27.153,1.256
54,-62.0,2.0,27.281,1.342
55,-61.5,2.0,27.42,1.472
56,-61.0,2.0,27.542,1.599
57,-60.5,2.0,27.561,1.612
58,-60.0,2.0,27.479,1.522
59,-55.5,2.0,26.877,1.118
60,-55.0,2.0,26.897,1.206
61,-54.5,2.0,26.853,1.242
62,-54.0,2.0,26.873,1.331
63,-53.5,2.0,26.816,1.339
64,-53.0,2.0,26.777,1.411
65,-52.5,2.0,26.759,1.464
66,-52.0,2.0,26.712,1.515
67,-51.5,2.0,26.713,1.544
68,-51.0,2.0,26.725,1.566
69,-50.5,2.0,26.772,1.563
70,-69.5,1.5,25.966,0.77
71,-69.0,1.5,25.956,0.771
72,-68.5,1.5,25.947,0.772
73,-68.0,1.5,25.941,0.773
74,-67.5,1.5,26.079,0.848
75,-64.0,1.5,26.75,1.01
76,-63.5,1.5,26.864,1.029
77,-63.0,1.5,26.94,1.077
78,-62.5,1.5,27.028,1.108
79,-62.0,1.5,27.132,1.193
80,-61.5,1.5,27.223,1.261
81,-61.0,1.5,27.302,1.329
82,-60.5,1.5,27.306,1.331
83,-60.0,1.5,27.301,1.301
84,-59.5,1.5,27.236,1.213
85,-58.0,1.5,27.051,1.05
86,-57.5,1.5,26.981,1.031
87,-57.0,1.5,26.956,1.03
88,-56.5,1.5,26.92,1.041
89,-56.0,1.5,26.908,1.072
90,-55.5,1.5,26.903,1.123
91,-55.0,1.5,26.894,1.173
92,-54.5,1.5,26.87,1.208
93,-54.0,1.5,26.831,1.284
94,-53.5,1.5,26.814,1.355
95,-53.0,1.5,26.772,1.421
96,-52.5,1.5,26.725,1.48
97,-52.0,1.5,26.667,1.539
98,-51.5,1.5,26.614,1.58
99,-51.0,1.5,26.671,1.586
100,-50.5,1.5,26.756,1.593
101,-50.0,1.5,26.818,1.58
102,-69.0,1.0,25.946,0.773
103,-68.5,1.0,25.934,0.774
104,-68.0,1.0,25.968,0.793
105,-67.5,1.0,26.0,0.818
106,-67.0,1.0,26.0,0.818
107,-65.0,1.0,26.501,0.944
108,-64.5,1.0,26.621,0.944
109,-64.0,1.0,26.734,0.949
110,-63.5,1.0,26.785,0.965
111,-63.0,1.0,26.826,0.977
112,-62.5,1.0,26.91,1.005
113,-62.0,1.0,26.979,1.036
114,-61.5,1.0,27.054,1.086
115,-61.0,1.0,27.098,1.12
116,-60.5,1.0,27.138,1.151
117,-60.0,1.0,27.13,1.122
118,-59.5,1.0,27.118,1.076
119,-59.0,1.0,27.094,1.032
120,-58.5,1.0,27.038,0.999
121,-58.0,1.0,26.989,0.994
122,-57.5,1.0,26.969,0.988
123,-57.0,1.0,26.938,0.993
124,-56.5,1.0,26.917,1.01
125,-56.0,1.0,26.905,1.046
126,-55.5,1.0,26.915,1.117
127,-55.0,1.0,26.895,1.153
128,-54.5,1.0,26.859,1.205
129,-54.0,1.0,26.836,1.272
130,-53.5,1.0,26.791,1.362
131,-53.0,1.0,26.771,1.43
