idGrade,x,y,t_med_medio,t_max_med,t_min_med,v_vento_medio,v_rajada_max
1,-61.0,6.0,27.798,38.089,20.756,1.891,39.578
2,-60.5,6.0,27.798,38.089,20.756,1.891,39.578
3,-60.0,6.0,27.798,38.089,20.756,1.891,39.578
4,-59.5,6.0,27.798,38.089,20.756,1.891,39.578
5,-61.5,5.5,27.587,38.048,20.067,1.712,36.221
6,-61.0,5.5,27.606,38.052,20.129,1.728,36.524
7,-60.5,5.5,27.615,38.054,20.158,1.736,36.665
8,-60.0,5.5,27.614,38.053,20.156,1.735,36.653
9,-59.5,5.5,27.798,38.089,20.756,1.891,39.578
10,-65.0,5.0,26.831,37.296,19.36,1.236,33.034
11,-64.5,5.0,26.927,37.398,19.429,1.295,33.338
12,-64.0,5.0,27.03,37.501,19.525,1.36,33.769
13,-63.0,5.0,27.243,37.692,19.783,1.499,34.962
14,-62.5,5.0,27.341,37.773,19.926,1.566,35.632
15,-62.0,5.0,27.589,38.049,20.073,1.713,36.247
16,-61.5,5.0,27.623,38.055,20.185,1.743,36.797
17,-61.0,5.0,27.559,38.015,20.211,1.675,35.588
18,-60.5,5.0,27.567,38.017,20.237,1.681,35.703
19,-60.0,5.0,27.556,38.012,20.223,1.671,35.519
20,-59.5,5.0,27.531,38.003,20.177,1.647,35.085
21,-59.0,5.0,27.495,37.99,20.11,1.614,34.47
22,-52.0,5.0,26.842,34.754,21.089,1.756,25.653
23,-51.5,5.0,26.918,34.795,21.156,1.679,23.435
24,-51.0,5.0,26.907,34.906,21.163,1.624,22.773
25,-65.5,4.5,26.703,37.153,19.284,1.16,32.717
26,-65.0,4.5,26.797,37.264,19.323,1.215,32.869
27,-64.5,4.5,26.904,37.38,19.393,1.279,33.168
28,-64.0,4.5,27.021,37.498,19.498,1.352,33.639
29,-63.5,4.5,27.144,37.611,19.639,1.432,34.284
30,-63.0,4.5,27.267,37.717,19.807,1.514,35.067
31,-62.5,4.5,27.314,37.783,19.96,1.516,34.343
32,-62.0,4.5,27.418,37.856,20.12,1.592,35.307
33,-61.5,4.5,27.589,38.026,20.269,1.703,36.098
34,-61.0,4.5,27.621,38.035,20.351,1.731,36.624
35,-60.5,4.5,27.558,37.998,20.334,1.689,35.883
36,-60.0,4.5,27.532,37.987,20.302,1.668,35.5
37,-59.5,4.5,27.481,37.966,20.228,1.626,34.723
38,-59.0,4.5,27.42,37.921,20.214,1.507,32.323
39,-52.5,4.5,26.883,35.233,21.019,1.64,24.177
40,-52.0,4.5,26.996,35.012,21.16,1.749,23.548
41,-51.5,4.5,26.999,35.0,21.166,1.741,23.37
42,-51.0,4.5,27.005,35.026,20.867,1.723,22.781
43,-50.5,4.5,26.913,35.09,20.769,1.657,21.782
44,-65.5,4.0,26.65,37.095,19.247,1.128,32.558
45,-65.0,4.0,26.752,37.221,19.273,1.185,32.638
46,-64.5,4.0,26.868,37.353,19.336,1.254,32.898
47,-64.0,4.0,26.998,37.486,19.446,1.335,33.385
48,-63.5,4.0,27.078,37.604,19.612,1.348,32.412
49,-63.0,4.0,27.215,37.714,19.795,1.444,33.445
50,-62.5,4.0,27.353,37.814,20.003,1.545,34.675
51,-62.0,4.0,27.415,37.867,20.175,1.596,35.104
52,-61.5,4.0,27.528,37.937,20.347,1.682,36.341
53,-61.0,4.0,27.645,38.011,20.483,1.75,36.83
54,-60.5,4.0,27.649,38.006,20.522,1.732,36.432
55,-60.0,4.0,27.615,37.985,20.481,1.694,35.674
56,-59.5,4.0,27.512,37.909,20.444,1.526,32.583
57,-59.0,4.0,27.417,37.778,20.401,1.387,29.749
58,-52.5,4.0,26.922,35.192,21.06,1.624,23.057
59,-52.0,4.0,26.925,35.166,21.071,1.63,23.043
60,-51.5,4.0,26.955,35.192,20.857,1.648,22.711
61,-51.0,4.0,26.92,35.157,20.74,1.696,22.512
62,-50.5,4.0,26.928,35.148,20.724,1.689,22.197
63,-65.5,3.5,26.585,37.025,19.206,1.089,32.381
64,-65.0,3.5,26.693,37.167,19.207,1.148,32.337
65,-64.5,3.5,26.789,37.336,19.299,1.159,30.861
66,-64.0,3.5,26.915,37.469,19.391,1.237,31.289
67,-63.5,3.5,27.056,37.598,19.544,1.33,32.092
68,-63.0,3.5,27.136,37.687,19.736,1.389,32.261
69,-62.5,3.5,27.328,37.745,20.086,1.497,32.784
70,-62.0,3.5,27.478,37.858,20.302,1.619,34.778
71,-61.5,3.5,27.612,37.952,20.511,1.714,36.331
72,-61.0,3.5,27.694,37.998,20.631,1.786,37.571
73,-60.5,3.5,27.719,38.017,20.664,1.794,37.537
74,-60.0,3.5,27.637,37.949,20.607,1.677,35.252
75,-59.5,3.5,27.502,37.814,20.528,1.501,31.842
76,-59.0,3.5,27.385,37.699,20.464,1.339,28.652
77,-56.0,3.5,27.005,36.551,20.715,1.25,22.507
78,-55.5,3.5,27.072,36.417,20.825,1.393,23.568
79,-55.0,3.5,27.027,36.124,20.926,1.432,24.387
80,-54.5,3.5,26.829,35.973,20.893,1.361,23.943
81,-53.0,3.5,26.783,35.232,21.004,1.531,22.914
82,-52.5,3.5,26.787,35.205,21.015,1.545,23.033
83,-52.0,3.5,26.795,35.231,20.78,1.534,22.637
84,-51.5,3.5,26.777,35.258,20.734,1.556,22.398
85,-51.0,3.5,26.817,35.235,20.741,1.597,22.408
86,-50.5,3.5,26.855,35.144,20.744,1.659,22.433
87,-68.0,3.0,25.994,36.257,19.169,0.766,32.489
88,-67.5,3.0,26.259,36.538,19.37,0.928,33.365
89,-67.0,3.0,26.293,36.594,19.335,0.943,33.176
90,-65.0,3.0,26.616,37.142,19.184,1.057,30.475
91,-64.5,3.0,26.732,37.294,19.196,1.119,30.407
92,-64.0,3.0,26.851,37.403,19.456,1.167,28.447
93,-63.5,3.0,27.022,37.504,19.654,1.258,28.944
94,-63.0,3.0,27.151,37.615,19.812,1.353,30.215
95,-62.5,3.0,27.305,37.735,20.031,1.474,32.123
96,-62.0,3.0,27.466,37.808,20.336,1.551,33.13
97,-61.5,3.0,27.645,37.958,20.568,1.729,36.511
98,-61.0,3.0,27.766,38.058,20.72,1.853,38.844
99,-60.5,3.0,27.779,38.072,20.738,1.867,39.101
100,-60.0,3.0,27.676,37.978,20.652,1.734,36.452
101,-59.5,3.0,27.523,37.833,20.544,1.529,32.399
102,-59.0,3.0,27.365,37.535,20.487,1.382,28.446
103,-57.0,3.0,27.066,36.855,20.506,1.167,22.144
104,-56.5,3.0,27.065,36.706,20.715,1.188,21.891
105,-56.0,3.0,26.926,36.539,20.601,1.172,21.642
106,-55.5,3.0,26.81,36.372,20.633,1.167,21.967
107,-55.0,3.0,26.817,36.231,20.701,1.213,22.276
108,-54.5,3.0,26.823,35.913,20.793,1.331,22.723
109,-54.0,3.0,26.858,35.779,20.876,1.394,22.738
110,-53.5,3.0,26.856,35.643,20.918,1.432,22.574
111,-53.0,3.0,26.791,35.408,20.927,1.471,22.538
112,-52.5,3.0,26.796,35.446,20.701,1.457,22.279
113,-52.0,3.0,26.762,35.333,20.709,1.536,22.741
114,-51.5,3.0,26.771,35.327,20.705,1.521,22.554
115,-51.0,3.0,26.787,35.341,20.633,1.514,22.222
116,-50.5,3.0,26.812,35.482,20.64,1.533,21.737
117,-50.0,3.0,26.849,35.451,20.625,1.573,21.467
118,-70.0,2.5,25.89,35.857,19.929,0.781,36.357
119,-69.5,2.5,25.89,35.857,19.929,0.781,36.357
120,-69.0,2.5,25.981,36.207,19.264,0.768,32.969
121,-68.5,2.5,25.978,36.194,19.288,0.768,33.096
122,-68.0,2.5,25.977,36.191,19.294,0.768,33.125
123,-67.5,2.5,26.183,36.414,19.437,0.893,33.742
124,-67.0,2.5,26.21,36.464,19.397,0.904,33.529
125,-66.5,2.5,26.259,36.552,19.329,0.924,33.161
126,-65.0,2.5,26.587,37.104,19.168,1.029,29.467
