,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,29.0,15575438.0,Primavera do Leste,Inmet,M,-54.38111,-15.58,680.0,2017-04-24
2,57.0,9366993.0,Parque Estadual Chandless,Inmet,M,-69.92626,-9.35835,184.51,2008-09-05
3,62.0,22234996.0,Marília,Inmet,M,-49.96511,-22.23522,660.0,2017-03-17
5,76.0,22934340.0,Rio de Janeiro-Jacarepaguá,Inmet,M,-43.4029,-22.93988,20.0,2017-08-10
6,80.0,22974430.0,Angra dos Reis,Inmet,M,-44.30344,-22.97569,6.0,2017-08-10
7,81.0,22374470.0,Itatiaia - Parque Nacional,Inmet,M,-44.70311,-22.37394,2.45,2017-09-02
9,84.0,15594813.0,Brazlandia,Inmet,M,-48.13111,-15.59972,1143.0,2017-07-19
10,85.0,12825033.0,São Miguel do Araguaia,Inmet,M,-50.33597,-12.82049,183.0,2017-06-17
11,94.0,1685047.0,Breves,Inmet,M,-50.47814,-1.68025,1.03,2017-10-21
12,96.0,17334991.0,Edeia,Inmet,M,-49.91472,-17.33694,608.0,2017-08-26
13,103.0,4284756.0,Dom Eliseu,Inmet,M,-47.56397,-4.28056,252.0,2018-03-08
14,110.0,7454602.0,Balsas,Inmet,M,-46.02755,-7.45561,271.03,2007-10-26
15,112.0,10424517.0,Corrente,Inmet,M,-45.17304,-10.42917,452.0,2018-03-28
16,114.0,7334745.0,Carolina,Inmet,M,-47.45984,-7.33727,182.88,2007-12-04
17,115.0,3744335.0,Chapadinha,Inmet,M,-43.35208,-3.74267,104.0,2008-09-17
18,126.0,15804329.0,Janauba,Inmet,M,-43.29694,-15.80278,532.0,2016-11-19
19,127.0,3275239.0,Altamira,Inmet,M,-52.39472,-3.27028,191.0,2018-10-25
20,128.0,20034600.0,Bambui,Inmet,M,-46.00889,-20.03111,697.0,2016-11-23
21,129.0,20355143.0,Selviria,Inmet,M,-51.43022,-20.35144,374.0,2018-04-05
22,131.0,4864214.0,Campo Maior,Inmet,M,-42.14555,-4.86418,125.0,2018-03-14
23,132.0,20714486.0,Oliveira,Inmet,M,-44.86456,-20.71492,1025.0,2017-10-20
24,138.0,7313814.0,Itaporanga,Inmet,M,-38.14084,-7.31846,292.0,2017-11-03
25,141.0,6656986.0,Eirunepé,Inmet,M,-69.86861,-6.6503,121.54,2012-08-31
27,161.0,4324644.0,Buriticupu,Inmet,M,-46.4495,-4.3206,174.91,2008-09-11
28,165.0,8053909.0,Salgueiro,Inmet,M,-39.09611,-8.05806,447.0,2017-09-15
29,176.0,21684594.0,Machado,Inmet,M,-45.94439,-21.68072,969.0,2017-07-21
30,190.0,9623776.0,Piranhas,Inmet,M,-37.76711,-9.62226,187.0,2017-09-20
31,204.0,19714796.0,Uberaba,Inmet,M,-47.96189,-19.71003,778.0,2017-05-19
32,221.0,21305282.0,Santa Rita do Pardo,Inmet,M,-52.82038,-21.30589,383.0,2018-02-19
33,226.0,3075957.0,Manaus,Inmet,M,-60.01546,-3.10368,48.79,2000-05-09
34,229.0,1244826.0,Belém,Inmet,M,-48.43951,-1.41123,21.17,2003-01-20
35,231.0,5533687.0,Ipanguacu,Inmet,M,-36.87231,-5.53487,19.0,2017-11-08
39,246.0,20174487.0,Divinópolis,Inmet,M,-44.87494,-20.17328,796.0,2017-10-26
40,248.0,8543629.0,Garanhuns,Inmet,M,-36.49338,-8.91095,827.78,2007-07-08
41,249.0,9453726.0,Pão de Açucar,Inmet,M,-37.43077,-9.74922,20.83,2007-07-14
42,250.0,6014016.0,Tauá,Inmet,M,-40.28132,-6.01747,410.87,2007-07-12
43,251.0,5103917.0,Quixeramobim,Inmet,M,-39.28939,-5.17457,221.04,2007-07-09
44,252.0,9054419.0,Bom Jesus do Piauí,Inmet,M,-44.32647,-9.08325,296.0,2007-07-17
45,253.0,9253637.0,Palmeira dos Índios,Inmet,M,-36.62037,-9.42033,278.01,2007-07-11
46,254.0,8303918.0,Cabrobó,Inmet,M,-39.31528,-8.504,342.74,2007-09-05
