,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
11,64.0,23855385.0,Altônia,Simepar,M,-53.85237,-23.85808,368.0,2017-08-03
12,71.0,24555296.0,Ubiratã,Simepar,M,-52.96648,-24.5545,529.0,2017-08-16
14,117.0,25345331.0,N.Prata do Iguaçu,Simepar,M,-53.5166,-25.5666,546.3,1997-06-01
15,124.0,25554836.0,Techint,Simepar,M,-48.36707,-25.55347,30.0,2016-11-17
18,174.0,24075240.0,Campo Mourão,Simepar,M,-52.40387,-24.07305,601.0,2017-02-09
19,211.0,25174828.0,Reserva Natural Salto Morato,Simepar,M,-48.2881,-25.1779,32.0,2011-03-24
21,235.0,25425241.0,Laranjeiras do Sul,Simepar,M,-52.41211,-25.42767,838.0,2017-07-18
26,427.0,25264916.0,Curitiba,Simepar,M,-49.23033,-25.44817,935.0,1997-06-01
27,455.0,25505367.0,Baixo Iguaçu,Simepar,M,-53.67738,-25.50895,274.0,2017-07-13
28,510.0,22915315.0,Loanda,Simepar,M,-53.15146,-22.91718,491.0,2017-07-18
41,731.0,23605062.0,Cornélio Procópio,Simepar,M,-50.62793,-23.20645,647.0,2018-08-15
52,971.0,26585152.0,Palmas - Horizonte,Simepar,M,-51.52019,-26.5829,1344.0,2019-11-20
53,998.0,25315301.0,Salto Osorio,Simepar,M,-53.03087,-25.52213,514.0,1999-07-22
54,1041.0,25435458.0,Foz do Iguaçu - Itaipu,Simepar,M,-54.58286,-25.4361,168.0,2017-05-09
56,1262.0,23395232.0,Cianorte,Simepar,M,-52.5476,-23.6522,451.0,2002-04-04
57,1303.0,26055139.0,Foz do Areia,Simepar,M,-51.6679,-26.0037,780.0,1997-06-01
61,1917.0,26145103.0,União da Vitória,Simepar,M,-51.06827,-26.22825,756.53,1997-06-01
64,2197.0,23695263.0,Cianorte Cocamar,Simepar,M,-52.63736,-23.69372,534.0,2016-09-13
66,2322.0,24235332.0,Assis Chateaubriand,Simepar,M,-53.5411,-24.3886,450.0,1999-08-19
67,2350.0,24035222.0,Campo Mourão_antiga,Simepar,M,-52.38654,-24.08543,601.2,1997-06-01
70,2738.0,24134940.0,Jaguariaiva,Simepar,M,-49.677,-24.2269,900.0,2000-04-07
71,2769.0,24205037.0,Telêmaco Borba,Simepar,M,-50.6106,-24.339,768.0,1997-06-01
72,2778.0,25385157.0,Pinhão,Simepar,M,-51.9625,-25.64944,910.0,2003-04-08
74,2837.0,23255010.0,Santo Antônio da Platina,Simepar,M,-50.10379,-23.2558,661.0,2019-02-06
75,2993.0,22434707.0,Replan,Simepar,M,-47.1,-22.73,608.28,2016-08-24
