,t_med,etp
2018-01-01,21.825,5.072
2018-01-02,23.346,5.358
2018-01-03,21.177,4.946
2018-01-04,22.156,5.128
2018-01-05,22.177,5.130
2018-01-06,22.110,5.114
2018-01-07,17.363,4.216
2018-01-08,18.406,4.410
2018-01-09,20.221,4.749
2018-01-10,22.373,5.150
2018-01-11,22.458,5.162
2018-01-12,19.975,4.692
2018-01-13,21.261,4.929
2018-01-14,22.444,5.146
2018-01-15,23.023,5.250
2018-01-16,22.962,5.234
2018-01-17,23.317,5.294
2018-01-18,25.146,5.630
2018-01-19,23.885,5.389
2018-01-20,21.833,5.000
2018-01-21,22.898,5.192
2018-01-22,23.592,5.314
2018-01-23,23.652,5.318
2018-01-24,22.977,5.186
2018-01-25,22.879,5.160
2018-01-26,22.277,5.041
2018-01-27,21.662,4.920
2018-01-28,23.281,5.210
2018-01-29,23.044,5.158
2018-01-30,18.965,4.400
2018-01-31,20.012,4.584
2018-02-01,21.133,4.781
2018-02-02,21.363,4.813
2018-02-03,21.552,4.838
2018-02-04,19.927,4.533
2018-02-05,20.602,4.646
2018-02-06,20.144,4.553
2018-02-07,22.292,4.931
2018-02-08,23.115,5.068
2018-02-09,24.915,5.380
2018-02-10,23.046,5.032
2018-02-11,23.713,5.139
2018-02-12,24.371,5.244
2018-02-13,21.912,4.792
2018-02-14,20.225,4.480
2018-02-15,20.423,4.503
2018-02-16,21.396,4.662
2018-02-17,20.108,4.422
2018-02-18,18.652,4.153
2018-02-19,20.871,4.529
2018-02-20,22.773,4.847
2018-02-21,23.535,4.964
2018-02-22,23.710,4.979
2018-02-23,22.596,4.770
2018-02-24,21.408,4.549
2018-02-25,21.477,4.545
2018-02-26,20.629,4.384
2018-02-27,21.279,4.479
2018-02-28,23.283,4.803
2018-03-01,23.808,4.874
2018-03-02,23.512,4.806
2018-03-03,22.327,4.588
2018-03-04,23.408,4.751
2018-03-05,23.588,4.762
2018-03-06,24.106,4.828
2018-03-07,23.492,4.707
2018-03-08,22.244,4.481
2018-03-09,21.950,4.414
2018-03-10,22.035,4.409
2018-03-11,23.000,4.546
2018-03-12,24.715,4.802
2018-03-13,24.190,4.696
2018-03-14,25.492,4.882
2018-03-15,24.062,4.631
2018-03-16,24.033,4.604
2018-03-17,23.094,4.434
2018-03-18,23.881,4.535
2018-03-19,24.842,4.663
2018-03-20,22.816,4.324
2018-03-21,22.140,4.197
2018-03-22,22.260,4.194
2018-03-23,22.685,4.237
2018-03-24,23.450,4.331
2018-03-25,24.077,4.402
2018-03-26,23.256,4.255
2018-03-27,22.260,4.082
2018-03-28,22.069,4.031
2018-03-29,21.581,3.936
2018-03-30,21.837,3.951
2018-03-31,21.894,3.937
2018-04-01,22.294,3.972
2018-04-02,21.425,3.823
2018-04-03,21.033,3.744
2018-04-04,21.035,3.722
2018-04-05,21.248,3.730
2018-04-06,21.429,3.733
2018-04-07,21.535,3.726
2018-04-08,21.535,3.703
2018-04-09,21.665,3.698
2018-04-10,21.525,3.656
2018-04-11,21.206,3.590
2018-04-12,21.077,3.550
2018-04-13,22.575,3.730
2018-04-14,21.185,3.520
2018-04-15,19.754,3.306
2018-04-16,18.352,3.099
2018-04-17,18.729,3.129
2018-04-18,18.121,3.030
2018-04-19,18.862,3.107
2018-04-20,18.744,3.072
2018-04-21,17.883,2.941
2018-04-22,19.325,3.107
2018-04-23,20.054,3.179
2018-04-24,20.031,3.156
2018-04-25,20.360,3.177
2018-04-26,20.944,3.230
2018-04-27,21.117,3.231
2018-04-28,20.908,3.184
2018-04-29,21.169,3.196
2018-04-30,21.150,3.174
2018-05-01,20.571,3.084
2018-05-02,20.994,3.115
2018-05-03,21.225,3.124
2018-05-04,21.615,3.150
2018-05-05,21.746,3.147
2018-05-06,20.677,3.003
2018-05-07,19.592,2.858
2018-05-08,19.235,2.800
2018-05-09,19.017,2.758
2018-05-10,19.058,2.747
2018-05-11,19.708,2.805
2018-05-12,20.935,2.927
2018-05-13,19.254,2.722
2018-05-14,18.894,2.667
2018-05-15,18.912,2.654
2018-05-16,19.619,2.718
2018-05-17,19.623,2.704
2018-05-18,20.231,2.756
2018-05-19,18.940,2.602
2018-05-20,13.723,2.025
2018-05-21,12.163,1.847
2018-05-22,14.444,2.082
2018-05-23,15.404,2.175
2018-05-24,16.256,2.255
2018-05-25,16.331,2.253
2018-05-26,17.065,2.321
2018-05-27,17.300,2.335
2018-05-28,16.727,2.266
2018-05-29,16.191,2.202
2018-05-30,15.884,2.161
2018-05-31,16.577,2.225
2018-06-01,18.637,2.429
2018-06-02,18.274,2.383
2018-06-03,17.426,2.289
2018-06-04,15.112,2.047
2018-06-05,16.140,2.145
2018-06-06,18.440,2.372
2018-06-07,18.384,2.360
2018-06-08,16.440,2.158
2018-06-09,16.243,2.134
2018-06-10,19.025,2.408
2018-06-11,20.424,2.543
2018-06-12,21.055,2.602
2018-06-13,20.493,2.542
2018-06-14,17.656,2.256
2018-06-15,15.054,1.994
2018-06-16,14.565,1.943
2018-06-17,16.135,2.097
2018-06-18,16.819,2.164
2018-06-19,17.565,2.236
2018-06-20,18.254,2.304
2018-06-21,15.388,2.020
2018-06-22,17.902,2.268
2018-06-23,18.628,2.341
2018-06-24,21.688,2.645
2018-06-25,20.350,2.514
2018-06-26,20.152,2.496
2018-06-27,19.167,2.400
2018-06-28,18.962,2.382
2018-06-29,19.312,2.420
2018-06-30,18.400,2.332
2018-07-01,18.744,2.370
2018-07-02,19.156,2.416
2018-07-03,17.842,2.289
2018-07-04,18.648,2.374
2018-07-05,19.267,2.442
2018-07-06,19.192,2.440
2018-07-07,18.790,2.406
2018-07-08,18.144,2.347
2018-07-09,18.175,2.357
2018-07-10,13.188,1.855
2018-07-11,11.117,1.649
2018-07-12,12.358,1.782
2018-07-13,13.933,1.951
2018-07-14,16.873,2.262
2018-07-15,18.038,2.391
2018-07-16,18.810,2.481
2018-07-17,18.833,2.493
2018-07-18,19.263,2.549
2018-07-19,20.085,2.647
2018-07-20,20.079,2.658
2018-07-21,19.458,2.604
2018-07-22,17.898,2.449
2018-07-23,18.202,2.493
2018-07-24,16.756,2.349
2018-07-25,17.306,2.420
2018-07-26,17.700,2.476
2018-07-27,18.713,2.599
2018-07-28,19.706,2.723
2018-07-29,20.671,2.844
2018-07-30,20.617,2.853
2018-07-31,16.119,2.365
2018-08-01,13.158,2.045
2018-08-02,14.483,2.207
2018-08-03,14.806,2.256
2018-08-04,16.075,2.415
2018-08-05,16.560,2.485
2018-08-06,14.119,2.216
2018-08-07,14.985,2.331
2018-08-08,17.848,2.681
2018-08-09,19.360,2.875
2018-08-10,15.356,2.417
2018-08-11,14.427,2.321
2018-08-12,13.092,2.175
2018-08-13,14.673,2.380
2018-08-14,17.317,2.717
2018-08-15,16.308,2.610
2018-08-16,15.629,2.543
2018-08-17,16.148,2.623
2018-08-18,16.710,2.710
