3461
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,0.14,0.00,0.036,213.792,0.000
2013-01-01T12:00:00+00:00,4.15,0.00,1.852,209.479,0.000
2013-01-01T18:00:00+00:00,7.68,0.00,2.149,205.979,0.000
2013-01-02T00:00:00+00:00,0.37,0.00,0.111,202.146,0.000
2013-01-02T06:00:00+00:00,0.44,0.00,0.031,199.917,0.000
2013-01-02T12:00:00+00:00,1.07,0.00,2.085,196.812,0.000
2013-01-02T18:00:00+00:00,0.50,0.00,2.798,193.833,0.000
2013-01-03T00:00:00+00:00,0.56,0.00,0.142,189.396,0.000
2013-01-03T06:00:00+00:00,0.25,0.00,0.034,185.750,0.000
2013-01-03T12:00:00+00:00,0.06,0.00,2.056,181.896,0.000
2013-01-03T18:00:00+00:00,0.01,0.00,2.551,177.562,0.000
2013-01-04T00:00:00+00:00,0.00,0.00,0.136,171.250,0.000
2013-01-04T06:00:00+00:00,0.04,0.00,0.033,165.833,0.000
2013-01-04T12:00:00+00:00,0.02,0.00,1.865,159.688,0.000
2013-01-04T18:00:00+00:00,0.00,0.00,2.532,153.479,0.000
2013-01-05T00:00:00+00:00,0.09,0.00,0.121,146.106,0.000
2013-01-05T06:00:00+00:00,0.00,0.00,0.033,141.150,0.000
2013-01-05T12:00:00+00:00,0.00,0.00,1.861,136.282,0.000
2013-01-05T18:00:00+00:00,0.04,0.00,2.638,130.562,0.000
2013-01-06T00:00:00+00:00,0.02,0.00,0.135,124.544,0.000
2013-01-06T06:00:00+00:00,1.75,0.00,0.034,121.750,0.000
2013-01-06T12:00:00+00:00,7.22,0.00,2.111,119.856,0.000
2013-01-06T18:00:00+00:00,1.52,0.00,2.579,117.231,0.000
2013-01-07T00:00:00+00:00,6.27,0.00,0.119,113.969,0.000
2013-01-07T06:00:00+00:00,0.10,0.00,0.027,111.944,0.000
2013-01-07T12:00:00+00:00,0.09,0.00,1.882,111.438,0.000
2013-01-07T18:00:00+00:00,0.73,0.00,2.500,110.406,0.000
2013-01-08T00:00:00+00:00,0.67,0.00,0.145,107.575,0.000
